"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value"
"1",0.0391748621317395,0.0198673498877157,-0.00353390418779344,0.000106786183449797
"2",0.0251548435720541,0.321317422632771,-0.00243269026458077,0.0744581033093244
"3",0.0322690476794062,0.0987894860296165,-0.00216378040572862,0.0425246556052584
"4",0.0188502462828491,0.471761865510514,-0.00141575006743282,0.284032164908852
"5",0.0404646524161418,0.077639853038643,-0.00405846517365343,0.00120080717306162
"6",0.0490842195475087,0.0449945054179858,-0.00332066245406012,0.0129621358625001
"7",0.000417640343724336,0.981950882320267,-0.000863386625399837,0.391365203490133
"8",0.0245031428632325,0.281227690188423,-0.00148315082158184,0.231890519360768
"9",0.034632098414062,0.14372523820449,-0.00208143851288109,0.107277522680156
"10",-0.123253574864856,8.85840824955914e-06,-0.000231989774195955,0.860161569950663
"11",-0.0596570758319742,0.00527759858652836,-0.000930736846400105,0.337894275208964
"12",-0.0851368229385434,0.00117090930515789,-0.000740694521945382,0.555012125194979
"13",0.0103549927899936,0.598787971133504,-0.00216055636987216,0.0443690250223188
"14",0.0187087419297489,0.350882256864729,-0.00279819571610972,0.00739060668209796
"15",0.0251936270458616,0.194895551927882,-0.0036443137480595,0.000605346815120574
"16",0.00521152795489801,0.797729281744794,-0.00241537683702374,0.0294780511720065
"17",0.0398194674500124,0.0514919156212448,-0.00326107185545105,0.0034976559888324
"18",0.0544993301567581,0.00901712890790075,-0.00280940137121535,0.013588695092274
"19",0.0605643693073854,0.00889076862929837,-0.0043857012726905,0.000523083012850012
"20",0.00769795074416726,0.737527022073356,-0.00153546507796826,0.220600393016973
"21",0.0442025487091857,0.0284083050058695,-0.00425348937710646,8.71070126545635e-05
"22",0.0489747148945655,0.0112528395889102,-0.00348420107855009,0.000959427242883609
"23",0.0641470711954927,0.000127627439226702,-0.00447512693623482,1.01422257388329e-06
"24",-0.0152791279648585,0.51384324970075,-0.00301837568520166,0.00609759826681447
"25",0.0150717861381024,0.317476988736022,-0.00283837949357043,0.000390650744713056
"26",0.0556203353866686,0.00295897451394651,-0.00335539529515894,0.00101989872730366
"27",0.0381525237168247,0.0787877762125295,-0.00268216995625022,0.0165392345419674
"28",0.0265377679819443,0.249555823289749,-0.00224679578641107,0.0740708542802404
"29",0.0170250676642571,0.362038202913538,-0.00261428216312374,0.00945965548459235
"30",0.0449297392477458,0.0468191709436765,-0.00379763472446221,0.00209666608567184
"31",0.0316292655501229,0.0690052909524577,-0.00201763170242593,0.0285896279869494
"32",0.0293344243881283,0.0440286143917483,-0.00310878247852214,9.19042137854884e-05
"33",0.0213041658239901,0.301378425214378,-0.00225861447461922,0.0447427769517724
"34",0.00693730634689418,0.744243175029628,-0.00111431346645773,0.336864005895061
"35",0.00524442035957635,0.767665586589557,-0.00133127558451202,0.169410214281471
"36",-0.00591670979543992,0.80487691677839,5.25833857818293e-05,0.967897812706461
"37",0.00783177746670102,0.687338470831661,-0.0021421375748332,0.0437909626110605
"38",-0.00861431280906508,0.654455205787533,-0.00278893924707995,0.00799874350511383
"39",-0.0335631136870582,0.182956899646579,-0.0025724066865188,0.0521328029119051
"40",0.00540650978361757,0.826668260803257,-0.00436584710045864,0.000620397591501021
"41",0.0172949978674622,0.394656174201636,-0.00138792793381075,0.21060865694748
"42",0.0321056484677028,0.0880164180482872,-0.00304762551050816,0.00303226405580701
"43",0.0306262623379869,0.0912976989038569,-0.00308098489874284,0.00157276895000893
"44",-0.00141967341552146,0.948236553586802,-0.000298023668011314,0.802732255249149
"45",0.0172199263181839,0.349704718754759,-0.00162492888452485,0.105894400035445
"46",0.0163961512052845,0.421035990248329,-0.00206786182716962,0.0630334518149774
"47",0.0209252077854586,0.286212136439613,-0.00198496318188717,0.0638208480355351
"48",0.0376157339682007,0.0615775038855615,-0.00282695696281822,0.0100718870185472
"49",0.0434071449261244,0.0664442705735478,-0.00295068777808823,0.0222516558930297
"50",0.0175962405153608,0.378250717438128,-0.0020475249545112,0.0603503813495398
"51",0.00875574567519867,0.63957650017021,-0.00240613635853249,0.0152106954009192
"52",0.00637992837979053,0.79648781165768,-0.00217734411932922,0.099180967142613
"53",-0.004044405638649,0.849358373675377,-0.00172386245184713,0.133719352858285
"54",0.00497180554068649,0.808856283095499,-0.00146219804815827,0.189288217485737
"55",0.0136527309966639,0.553081827162422,-0.00214434430478543,0.0878770549452511
"56",0.0234511336167574,0.281608138238166,-0.00154737912783617,0.191674259917126
"57",0.0165235893004065,0.497111811018133,-0.00119690455674829,0.367299570911808
"58",0.018252670090361,0.438773564279291,-0.000917378171784474,0.47564145641707
"59",-0.0922614980157324,0.000118918962279991,-0.00149306165814261,0.196134062139945
"60",-0.0536832566430689,0.00765213736821616,-0.000642893469307587,0.514014590946038
"61",-0.055135786727811,0.0533273277715154,-0.0033096985028572,0.0156785210923755
"62",-0.00529009269511622,0.793284507790575,-0.00145654070294789,0.186153467527694
"63",-0.017109942921695,0.463022754277995,-0.00140532225155765,0.2692781811514
"64",-0.0107239279468994,0.648107068702744,-0.000740160579418532,0.563676333547359
"65",0.0251299405293242,0.289261108056885,-0.00269537576338219,0.0340710457634373
"66",0.0183621686873801,0.391643058296739,-0.00321120783556217,0.00549190453069937
"67",0.0441595028853499,0.0305912029915114,-0.00342143883185637,0.00176065558244518
"68",-0.000553410600793285,0.977148386266182,-0.00110895429514668,0.292856824118592
"69",0.036301748043833,0.0768522998909795,-0.0032838850249845,0.00260865718265059
"70",0.0299306971226803,0.160357193077305,-0.00228972353267486,0.0490927657208823
"71",0.00236824275035975,0.909144731647311,-0.0019253701634824,0.0892191665805534
"72",0.000721154914125111,0.97113664307069,-0.00259773336219097,0.0148045885055576
"73",0.0432493342150697,0.0163746013317927,-0.00343006915097447,0.000492708113966412
"74",-0.0557005150476853,0.0411952408158283,-0.00213882778590677,0.097783191745944
"75",-0.0272966839964633,0.231198801199988,-0.00265414109876503,0.0263640997158186
"76",0.0288529057163147,0.0929095381690098,-0.00286485016735736,0.00153320108917096
"77",0.0216819345986455,0.271283776587429,-0.0020843603398288,0.0526890970416561
"78",0.0432977034184235,0.0432407762863956,-0.00287474079003207,0.0132959042019122
"79",0.0263992511039724,0.142942659288648,-0.00212484218531866,0.0251342563980446
"80",0.00772166450358325,0.608112239073016,-0.00290720336994685,0.000279215869137702
"81",0.0244470570290228,0.272347934433085,-0.00377497862081817,0.000641454590928613
"82",0.0446970503649368,0.0385776073500835,-0.00301300555555198,0.00901018659880167
"83",0.0427343667790143,0.0116356951931349,-0.00282247492879633,0.00226961649712755
"84",0.0321636227619414,0.11546744882215,-0.00328397251073546,0.00326190125134833
"85",0.0245108019509988,0.237723834130649,-0.00263012861290245,0.0125449827186512
"86",0.0293558593157203,0.150567634450384,-0.00291819365564374,0.00736433858618825
"87",0.0173068690380463,0.348796333936747,-0.00239476683288889,0.0176030290253941
"88",0.0209656979037513,0.360511920417508,-0.00229752430966432,0.0513842110990302
"89",0.0201866170210653,0.3348821472405,-0.00160729562891006,0.159398985343619
