,sub,node,episode,label,r
0,sub-01,1,1,reappraisal,-0.107655529
1,sub-01,1,2,control,-0.020468465
2,sub-01,1,3,control,0.122438455
3,sub-01,1,4,reappraisal,0.123951888
4,sub-01,1,5,control,-0.099088216
5,sub-01,1,6,reappraisal,0.143936508
6,sub-01,1,7,reappraisal,0.137946942
7,sub-01,1,8,control,0.220506344
8,sub-01,1,9,control,0.166270756
9,sub-01,1,10,reappraisal,-0.26031503
10,sub-01,2,1,reappraisal,0.659725839
11,sub-01,2,2,control,0.29227041
12,sub-01,2,3,control,-0.536908649
13,sub-01,2,4,reappraisal,0.287810455
14,sub-01,2,5,control,-0.059643871
15,sub-01,2,6,reappraisal,-0.356178602
16,sub-01,2,7,reappraisal,0.434599248
17,sub-01,2,8,control,0.699194741
18,sub-01,2,9,control,-0.448245843
19,sub-01,2,10,reappraisal,-0.224503739
20,sub-01,3,1,reappraisal,-0.25284769
21,sub-01,3,2,control,-0.040004802
22,sub-01,3,3,control,-0.15230484
23,sub-01,3,4,reappraisal,-0.108286677
24,sub-01,3,5,control,0.365610999
25,sub-01,3,6,reappraisal,-0.449920707
26,sub-01,3,7,reappraisal,0.484442411
27,sub-01,3,8,control,0.343491968
28,sub-01,3,9,control,-0.350594632
29,sub-01,3,10,reappraisal,-0.035153098
30,sub-01,4,1,reappraisal,0.428696653
31,sub-01,4,2,control,0.659456132
32,sub-01,4,3,control,-0.385456833
33,sub-01,4,4,reappraisal,-0.658249767
34,sub-01,4,5,control,-0.005972302
35,sub-01,4,6,reappraisal,-0.420264827
36,sub-01,4,7,reappraisal,0.257196425
37,sub-01,4,8,control,0.362904327
38,sub-01,4,9,control,0.119367544
39,sub-01,4,10,reappraisal,0.092557625
40,sub-01,5,1,reappraisal,-0.094919399
41,sub-01,5,2,control,0.34023969
42,sub-01,5,3,control,-0.616109942
43,sub-01,5,4,reappraisal,-0.113822098
44,sub-01,5,5,control,-0.490947488
45,sub-01,5,6,reappraisal,-0.218404272
46,sub-01,5,7,reappraisal,0.525360674
47,sub-01,5,8,control,0.340414072
48,sub-01,5,9,control,-0.005041594
49,sub-01,5,10,reappraisal,-0.219268027
50,sub-01,6,1,reappraisal,-0.016199991
51,sub-01,6,2,control,0.336100229
52,sub-01,6,3,control,-0.440771785
53,sub-01,6,4,reappraisal,-0.058715646
54,sub-01,6,5,control,-0.104344662
55,sub-01,6,6,reappraisal,-0.47958701
56,sub-01,6,7,reappraisal,0.623176695
57,sub-01,6,8,control,0.198539114
58,sub-01,6,9,control,0.233248161
59,sub-01,6,10,reappraisal,-0.295733186
60,sub-01,7,1,reappraisal,0.344281692
61,sub-01,7,2,control,0.360544825
62,sub-01,7,3,control,-0.270363982
63,sub-01,7,4,reappraisal,0.15644858
64,sub-01,7,5,control,0.342538476
65,sub-01,7,6,reappraisal,-0.299874709
66,sub-01,7,7,reappraisal,0.250709313
67,sub-01,7,8,control,0.208609634
68,sub-01,7,9,control,0.343679432
69,sub-01,7,10,reappraisal,0.284079201
70,sub-01,8,1,reappraisal,0.193773148
71,sub-01,8,2,control,0.218205629
72,sub-01,8,3,control,-0.312572965
73,sub-01,8,4,reappraisal,-0.588514185
74,sub-01,8,5,control,-0.453680944
75,sub-01,8,6,reappraisal,-0.369669109
76,sub-01,8,7,reappraisal,0.485056777
77,sub-01,8,8,control,0.487831606
78,sub-01,8,9,control,-0.023462869
79,sub-01,8,10,reappraisal,-0.410333639
80,sub-01,9,1,reappraisal,-0.130023009
81,sub-01,9,2,control,0.122656706
82,sub-01,9,3,control,-0.454595187
83,sub-01,9,4,reappraisal,-0.206494248
84,sub-01,9,5,control,-0.551484843
85,sub-01,9,6,reappraisal,-0.022472542
86,sub-01,9,7,reappraisal,0.367372698
87,sub-01,9,8,control,0.413638715
88,sub-01,9,9,control,0.068302143
89,sub-01,9,10,reappraisal,-0.318520422
90,sub-01,10,1,reappraisal,-0.344604947
91,sub-01,10,2,control,0.138835011
92,sub-01,10,3,control,0.317888691
93,sub-01,10,4,reappraisal,0.632198912
94,sub-01,10,5,control,0.639765146
95,sub-01,10,6,reappraisal,0.523362947
96,sub-01,10,7,reappraisal,0.752715847
97,sub-01,10,8,control,0.503383896
98,sub-01,10,9,control,0.323527936
