"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value"
"1",0.0116437139808718,0.541627682605824,0.00362209953749389,0.00023020679245632
"2",0.0364370539111508,0.280682581308344,0.00135628012292644,0.438863622264119
"3",0.00641738774291281,0.772635972395809,0.00215025871378662,0.076170937778585
"4",0.0713055827008241,0.0267937098493179,-2.12667079524364e-05,0.990265678323503
"5",0.0247461688354425,0.404008554714437,0.00257152986974153,0.0974466209297872
"6",0.014308461600886,0.555949728833644,0.00323504727408372,0.0138818508755651
"7",-0.00153600368950173,0.950039474788755,0.00439318959728518,0.00104903994108296
"8",0.0138451743517723,0.599823965058335,0.00146893776504983,0.297433677509336
"9",-0.0218993194789719,0.429523335631928,0.00397673019243307,0.00767946839220688
"10",-0.00344318728115674,0.904590828006769,0.00853113398983784,3.57917159987356e-10
"11",0.0212260569547282,0.377300531494547,0.00431588242601076,7.87199875042353e-05
"12",0.0142805374716365,0.613238926233154,0.00522113884902452,0.000105822112702287
"13",-0.00848215810436335,0.731875125590216,0.00363420219345247,0.0070125558043053
"14",0.0125418305435826,0.623965957498244,0.00340410299521116,0.00892993933770306
"15",-0.0228622554339956,0.347647616547422,0.00537912847433811,5.42684347337983e-05
"16",-0.00188800885277588,0.945723757344465,0.00458381010537945,0.0024989263882814
"17",0.00310937398202425,0.901964478155335,0.0041161498003135,0.00285383782090199
"18",-0.0353501280556981,0.141541154030203,0.00525713290916051,6.46857243723452e-05
"19",0.0283211123118237,0.335094355896237,0.0023448494006344,0.140100357424345
"20",-0.0208191422333842,0.477269285687785,0.00601546889688838,0.000170963603143442
"21",-0.0545837189838846,0.0450308970251386,0.00672581805474735,4.31833280699052e-06
"22",-0.0657861916431966,0.00910511535649074,0.00730337182364402,1.2762362226855e-07
"23",-0.0280900350446474,0.166932849267543,0.00564568799074268,4.08825780032243e-07
"24",-0.0166209846323894,0.588299511924727,0.00792667870822966,1.20990853277411e-07
