"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value"
"1",0.0183887263234842,0.239682371686778,-0.00112701797236916,0.0910361970718224
"2",0.0275189307838903,0.290685072932543,-0.00254763656442011,0.0286133288194747
"3",0.0197235461709175,0.266279920253476,-0.00108019456563815,0.164545537135499
"4",-0.0202179616393341,0.371441540910252,-0.00078193438810126,0.437484511762849
"5",0.0333053739535938,0.10994161250379,-0.00254085267872654,0.00641629059522959
"6",0.024955980554651,0.213425525571862,-0.00155351086406988,0.0787851193006808
"7",0.0173237948228835,0.376292622641081,-0.00123827427733814,0.15721936449386
"8",-0.0204326949403388,0.33448263430452,0.00058298107402978,0.535110939969836
"9",0.0614950070365864,0.00635726314890098,-0.00241220288118384,0.0143506253938491
"10",0.0982924888377103,0.000379206713771425,-0.00559050640811879,6.69275596954074e-09
"11",-0.00048384233079888,0.982623096425584,-0.00120877931238612,0.107574199495556
"12",0.0355317504160401,0.195006169522169,-0.00299964081643702,0.00214194685129005
"13",0.0111851540449876,0.623646344333946,-0.000184720579781934,0.849449893134089
"14",0.0201611049971435,0.380939358461878,-0.00105939732206903,0.253751467859858
"15",0.0457748172425635,0.0388270539758098,-0.00291089885764395,0.00147825400314214
"16",0.0111910848557718,0.597653756190812,-0.00135673943255159,0.152433163525916
"17",0.0053510488544357,0.823934592071616,-0.00053101673283991,0.5871979249773
"18",-0.012582884187058,0.543830053648473,7.04379481244173e-05,0.939397519817885
"19",0.00402042045507984,0.882391077520327,-0.000872255215745531,0.440137719516522
"20",0.00782432049948358,0.748616089079261,-0.00161435390120913,0.125083037751116
"21",0.0138301027964885,0.535849918952697,-0.00187919403281222,0.0599895892485144
"22",0.0240463583474343,0.282825385212549,-0.00103309369672162,0.29709250286321
"23",0.00942903731750051,0.610382030877681,-0.000907610041046625,0.272618723664604
"24",0.0483690416236287,0.0754035623204376,-0.00432022648658366,0.000104068260804163
"25",0.040036840602341,0.00947596851652751,-0.00251442784312218,0.000271792062218822
"26",-0.0162880448403815,0.431077071916643,0.000391834144279581,0.663316129795925
"27",-0.00939222538892656,0.653937402591436,-0.000212053637470249,0.80429286584171
