,node,sub,r,label
0,1,0,0.012218701739030897,pre
1,1,0,-0.013930132290386626,post
2,1,1,0.012914280045443878,pre
3,1,1,0.02554103064352996,post
4,1,2,0.022541995314058202,pre
5,1,2,-0.0044971883506612345,post
6,1,3,-0.01907796625394317,pre
7,1,3,0.05001005768023802,post
8,1,4,-0.002993564199223338,pre
9,1,4,0.010806632922375053,post
10,1,5,0.016624862087110684,pre
11,1,5,-0.018247690397837392,post
12,1,6,0.01037914156239592,pre
13,1,6,0.010889586728639348,post
14,1,7,0.01778630332443888,pre
15,1,7,0.016701673811912777,post
16,1,8,0.0033095836766548325,pre
17,1,8,0.02593228959934719,post
18,1,9,0.014206029166477854,pre
19,1,9,0.006637091201912963,post
20,1,10,0.01296688570294279,pre
21,1,10,0.028669588116244028,post
22,1,11,0.009443068287783895,pre
23,1,11,-0.007252814442952837,post
24,1,12,0.005379061372549938,pre
25,1,12,0.036043367441505485,post
26,1,13,0.020186846530180554,pre
27,1,13,0.050533556173093075,post
28,1,14,0.010397993079930425,pre
29,1,14,0.011404064930159002,post
30,1,15,-0.004269030697124494,pre
31,1,15,0.003310214937223022,post
32,1,16,-0.003183867468897134,pre
33,1,16,-4.776523871376984e-05,post
34,1,17,-0.00978520884131567,pre
35,1,17,0.019198659112798586,post
36,1,18,0.024235416656801595,pre
37,1,18,0.018523445010143486,post
38,1,19,0.0013725337123112742,pre
39,1,19,0.015990287716241544,post
40,1,20,-0.005911919134450339,pre
41,1,20,0.011386550203714488,post
42,1,21,0.02604190165100127,pre
43,1,21,0.00315940791335754,post
44,1,22,0.002453385850446187,pre
45,1,22,-0.005876722170651453,post
46,1,23,-0.015867815761192942,pre
47,1,23,0.019664321859747255,post
48,1,24,0.007507034295098705,pre
49,1,24,0.00913588872514,post
50,1,25,0.02031279201543055,pre
51,1,25,0.008994053899510048,post
52,1,26,0.027120063927317015,pre
53,1,26,0.02146463119188139,post
54,1,27,-0.00012185600734773111,pre
55,1,27,0.024707068455973577,post
56,1,28,0.03901630909273344,pre
57,1,28,0.03376671803947562,post
58,1,29,0.028011167032589712,pre
59,1,29,0.03120769542286517,post
60,1,30,0.03602391594462867,pre
61,1,30,0.021660155443597194,post
62,1,31,-0.004422861818690851,pre
63,1,31,0.017410383975278755,post
64,1,32,0.0018054055478755192,pre
65,1,32,0.01892777306807229,post
66,1,33,0.016415059029963416,pre
