,node,sub,r,label
189,3,22,0.009718309,post
190,3,23,0.011717389,pre
191,3,23,0.046765117,post
192,3,24,0.016066318,pre
193,3,24,0.012776877,post
194,3,25,0.007185377,pre
195,3,25,-0.010135409,post
196,3,26,0.023982724,pre
197,3,26,0.028149788,post
198,3,27,0.02131776,pre
199,3,27,0.030938586,post
200,3,28,0.045194913,pre
201,3,28,0.013823449,post
202,3,29,0.014107851,pre
203,3,29,0.041007048,post
204,3,30,0.060043375,pre
205,3,30,0.051533422,post
206,3,31,-0.006397484,pre
207,3,31,0.045947554,post
208,3,32,-0.005230216,pre
209,3,32,0.031284012,post
210,3,33,0.005858199,pre
211,3,33,0.030540409,post
212,3,34,0.022120014,pre
213,3,34,0.02161954,post
214,3,35,0.016748543,pre
215,3,35,0.011287005,post
216,4,0,0.022065015,pre
217,4,0,0.03525955,post
218,4,1,0.056952352,pre
219,4,1,0.064623235,post
220,4,2,0.05458484,pre
221,4,2,-0.016932244,post
222,4,3,-0.014744534,pre
223,4,3,0.081055787,post
224,4,4,0.04953004,pre
225,4,4,0.003721472,post
226,4,5,0.009158341,pre
227,4,5,0.033633212,post
228,4,6,0.02725508,pre
229,4,6,-0.001031123,post
230,4,7,0.027203191,pre
231,4,7,5.95E-05,post
232,4,8,0.036152409,pre
233,4,8,0.053512492,post
234,4,9,0.008222833,pre
235,4,9,0.035034911,post
236,4,10,0.062799038,pre
237,4,10,0.114821443,post
238,4,11,0.03351311,pre
239,4,11,-0.008643521,post
240,4,12,-0.006763991,pre
241,4,12,0.034156056,post
242,4,13,0.065462204,pre
243,4,13,0.087029946,post
244,4,14,0.058195908,pre
245,4,14,0.060394296,post
246,4,15,0.034737008,pre
247,4,15,0.007069395,post
248,4,16,0.02173473,pre
249,4,16,0.063680221,post
250,4,17,0.034183237,pre
251,4,17,0.076409773,post
252,4,18,0.024335521,pre
253,4,18,0.060062208,post
254,4,19,0.030784075,pre
255,4,19,0.051594257,post
256,4,20,0.014881835,pre
257,4,20,-0.048518272,post
258,4,21,-0.020172195,pre
259,4,21,0.129322704,post
260,4,22,0.036525702,pre
261,4,22,-0.001893347,post
262,4,23,-0.008916718,pre
263,4,23,0.044303615,post
264,4,24,0.011585035,pre
265,4,24,-0.004716199,post
266,4,25,0.020443142,pre
267,4,25,0.033760179,post
268,4,26,-0.012753469,pre
269,4,26,0.02196537,post
270,4,27,0.013032036,pre
271,4,27,0.110055598,post
272,4,28,0.034020005,pre
273,4,28,0.043397715,post
274,4,29,0.007507385,pre
275,4,29,0.044532222,post
276,4,30,0.100475322,pre
277,4,30,0.10940741,post
278,4,31,0.03224568,pre
279,4,31,0.019766287,post
280,4,32,-0.005901142,pre
281,4,32,0.045017827,post
282,4,33,0.019015306,pre
283,4,33,0.018068415,post
284,4,34,-0.001542833,pre
285,4,34,0.03700356,post
286,4,35,0.041277834,pre
287,4,35,0.03716936,post
288,5,0,0.01131778,pre
289,5,0,0.007854803,post
290,5,1,0.027786714,pre
291,5,1,0.02121452,post
292,5,2,0.012756642,pre
293,5,2,-0.017471488,post
294,5,3,-0.019895976,pre
295,5,3,0.133801741,post
296,5,4,0.022246376,pre
297,5,4,-0.006986353,post
298,5,5,-0.008614949,pre
299,5,5,0.018445542,post
300,5,6,0.003879553,pre
301,5,6,0.003454843,post
302,5,7,0.002921296,pre
303,5,7,0.021267187,post
304,5,8,0.043553231,pre
305,5,8,0.057858331,post
306,5,9,0.067742073,pre
307,5,9,0.027485652,post
308,5,10,0.040476474,pre
309,5,10,0.129045267,post
310,5,11,0.01424581,pre
311,5,11,0.038593616,post
312,5,12,0.021769474,pre
313,5,12,0.060254375,post
314,5,13,0.033105913,pre
315,5,13,0.031087064,post
316,5,14,0.068977929,pre
317,5,14,0.078439717,post
318,5,15,-0.001725379,pre
319,5,15,-0.009989075,post
320,5,16,0.000280339,pre
321,5,16,0.044916704,post
322,5,17,0.01639415,pre
323,5,17,0.086307108,post
324,5,18,0.007530576,pre
325,5,18,0.021872196,post
326,5,19,0.026261883,pre
327,5,19,0.007145991,post
328,5,20,-0.015999669,pre
329,5,20,-0.010773264,post
330,5,21,0.009481314,pre
331,5,21,0.082732825,post
332,5,22,0.001356144,pre
333,5,22,0.005001578,post
334,5,23,-0.019588863,pre
335,5,23,0.023116861,post
336,5,24,0.015774273,pre
337,5,24,-0.009981176,post
338,5,25,0.027700681,pre
339,5,25,-0.001647783,post
340,5,26,-0.00240924,pre
341,5,26,-0.000493964,post
342,5,27,0.021518829,pre
343,5,27,0.090506165,post
344,5,28,0.082446918,pre
345,5,28,-0.015443073,post
346,5,29,0.003765684,pre
347,5,29,0.050520659,post
348,5,30,0.087814056,pre
349,5,30,0.060314789,post
350,5,31,0.0163855,pre
351,5,31,0.058540783,post
352,5,32,-0.021910979,pre
353,5,32,0.054172081,post
354,5,33,-0.001005283,pre
355,5,33,-0.035589244,post
356,5,34,-0.037945962,pre
357,5,34,0.038583289,post
358,5,35,0.051154814,pre
359,5,35,0.076816062,post
360,6,0,0.034955052,pre
361,6,0,0.028366423,post
362,6,1,0.035604079,pre
363,6,1,0.030665122,post
364,6,2,0.005404286,pre
365,6,2,0.0023311,post
366,6,3,0.011477415,pre
367,6,3,0.089361688,post
368,6,4,0.01964065,pre
369,6,4,0.015937939,post
370,6,5,-0.000367118,pre
371,6,5,0.017322892,post
372,6,6,0.018479888,pre
373,6,6,0.009735472,post
374,6,7,-0.004422977,pre
375,6,7,-0.008407334,post
376,6,8,0.018742913,pre
377,6,8,-0.001992645,post
378,6,9,0.034048309,pre
379,6,9,0.04371967,post
380,6,10,0.006246745,pre
381,6,10,0.154356582,post
382,6,11,0.002806431,pre
383,6,11,0.00724377,post
384,6,12,0.005968078,pre
385,6,12,0.046955039,post
386,6,13,0.017019899,pre
387,6,13,0.065078536,post
388,6,14,0.068749815,pre
389,6,14,0.059461355,post
390,6,15,0.011829629,pre
391,6,15,0.004165785,post
392,6,16,0.022586937,pre
393,6,16,0.022691267,post
394,6,17,0.007894221,pre
395,6,17,0.025492155,post
396,6,18,0.043691468,pre
397,6,18,0.038546474,post
398,6,19,0.024069935,pre
399,6,19,0.063292298,post
400,6,20,-0.033671592,pre
401,6,20,0.015948154,post
402,6,21,0.022268577,pre
403,6,21,0.0548053,post
404,6,22,0.027218028,pre
405,6,22,0.000256528,post
406,6,23,-0.005705065,pre
407,6,23,0.007795786,post
408,6,24,0.001711105,pre
409,6,24,-0.010198749,post
410,6,25,0.014495072,pre
411,6,25,0.010339137,post
412,6,26,0.020515296,pre
413,6,26,0.019069675,post
414,6,27,0.035456219,pre
415,6,27,0.062302866,post
416,6,28,0.034765206,pre
417,6,28,0.011670875,post
418,6,29,0.011362359,pre
419,6,29,0.021513695,post
420,6,30,0.055333126,pre
421,6,30,0.027931983,post
422,6,31,0.011613553,pre
423,6,31,0.031008821,post
424,6,32,0.033835837,pre
425,6,32,0.051752706,post
426,6,33,-0.010737529,pre
427,6,33,0.00947494,post
428,6,34,-0.003875475,pre
429,6,34,-0.001428279,post
430,6,35,0.039688923,pre
431,6,35,0.006162191,post
432,7,0,0.036595275,pre
433,7,0,0.053114032,post
434,7,1,0.030056658,pre
435,7,1,0.079443999,post
436,7,2,0.067614525,pre
437,7,2,0.084618512,post
438,7,3,0.033921134,pre
439,7,3,0.187745243,post
440,7,4,0.044693977,pre
441,7,4,0.089553748,post
442,7,5,0.082207729,pre
443,7,5,0.074092829,post
444,7,6,0.062235981,pre
445,7,6,0.046799977,post
446,7,7,0.024981141,pre
447,7,7,0.01164663,post
448,7,8,0.127358653,pre
449,7,8,0.139836502,post
450,7,9,0.062597841,pre
451,7,9,0.130614184,post
452,7,10,0.099217121,pre
453,7,10,0.229093289,post
454,7,11,0.101046363,pre
455,7,11,0.077473996,post
456,7,12,0.046854315,pre
