"Node","Estimate","P_Value"
"1",0.00202451610430473,0.289714916274247
"2",0.00962653732297835,0.091114019947902
"3",0.00871395242851464,0.00251400393413284
"4",0.0107624575971486,0.0210682764768195
"5",0.0109142383213456,0.0205070699575261
"6",0.00774422349152749,0.0123865244681631
"7",0.0157222100180571,0.000133382543054796
"8",0.0135063328034654,0.0020388809336801
"9",0.0113134753894281,0.0255452806184856
"10",-0.00975207899260183,0.00999240732897875
"11",-0.00236980612208076,0.406543415818291
"12",-0.00532557095035988,0.195056012951898
"13",0.0022429993705674,0.545874674665932
"14",0.00662503643184073,0.0314637404029493
"15",0.0102037566391483,0.0135635316189534
"16",0.0114309162803071,0.00644080266018125
"17",0.0168602785067061,0.000120024467209244
"18",0.0167892278235388,0.000388864326614712
"19",0.00787547948335738,0.0468036415382221
"20",0.0271392194182506,4.54776008970168e-07
"21",0.0121177908886239,0.00634354237791646
"22",0.014071485990055,0.000420542131178343
"23",0.00658664502562099,0.0247321314582207
"24",0.020551972674034,0.000899995596038877
"25",0.00427988223324928,0.0302322345378693
"26",0.00411855433317857,0.0952604531594258
"27",0.00930746077975139,0.0166338166647792
"28",0.00445957961164615,0.324135274397528
"29",0.00830363025927742,0.0252930911173192
"30",0.00218599784116291,0.698689043475431
"31",-5.17714394626405e-05,0.976646028276767
"32",-0.00030286801479868,0.808021439110455
"33",0.00921633391916,0.00610017716439862
"34",0.0257245359146238,4.06391099396599e-07
"35",0.0122657161786409,0.000611315522830298
"36",0.0191113810535262,0.00520489596584543
"37",0.0102964917089522,0.00255402538588963
"38",-0.00160506666764758,0.523495627861017
"39",-0.00366035380926663,0.423984689952331
"40",0.00503404860629648,0.350520189046056
"41",0.0257685035106806,1.0232229044564e-06
"42",0.00582961214305565,0.0255183170252276
"43",0.00348842790416402,0.326064712659679
"44",0.00916632591233254,0.0367907011948896
"45",0.00875280604638651,0.0011265315913457
"46",0.00939840330639668,0.0692255994329376
"47",0.0107768965493338,0.00144980989859428
"48",0.0105572436052478,0.00621476187561714
"49",0.00659845833382221,0.0587392582720647
"50",0.017495346707999,6.87259939136827e-05
"51",0.00392806230308585,0.0510007004046138
"52",0.00743162406846102,0.0234233691670536
"53",0.0095412882480682,0.00497948851233101
"54",0.00903907379322216,0.0134772494678272
"55",0.00921978823313578,0.00709472506391984
"56",0.00565926421281025,0.0524867480822392
"57",0.0115382372430695,0.00737272633540258
"58",0.011239981289112,0.0110771640127553
"59",-0.00399357221331143,0.174311082940351
"60",-0.00034925662544522,0.879122876927678
"61",-0.00215866484874235,0.635235593722067
"62",0.00259705548921406,0.539442794064001
"63",0.00801603088383985,0.0703227585269176
"64",-0.000807513048739468,0.859851739218584
"65",0.0064291796058834,0.0831567356957237
"66",0.00833994517383244,0.0437221648167356
"67",0.0222307568269924,1.84429034389868e-06
"68",0.00482737180114696,0.156876423390144
"69",0.0116210314426779,0.00830601949677359
"70",0.021813177846233,6.2500244350068e-06
"71",0.0206683277699752,0.000155916541645617
"72",0.0200202592711268,3.76816809769913e-06
"73",0.00913474873600531,0.0112036709613106
"74",0.0174703226898602,0.00381991718658823
"75",0.0139426510346205,0.00119638582238346
"76",0.0050403583022618,0.0966521680865007
"77",0.00519338449331971,0.0348061798482686
"78",0.00549530496162536,0.189463284327905
"79",0.00563230250459445,0.00548433123473115
"80",0.00158779260996198,0.217419685407043
"81",0.0214442522728638,0.000127797027922474
"82",0.0259364872668416,7.95444694027389e-07
"83",0.00949280144629254,0.000559309508544175
"84",0.0178816322351329,4.42044588900266e-05
"85",0.00914456640531678,0.0560617036874564
"86",0.0270306764865657,1.52231605649282e-06
"87",0.00964287130971981,0.000731629568473171
"88",0.00129870808240033,0.730910974419098
"89",0.0204567041792686,1.10422966825541e-05
"90",0.0290958177122128,1.01632215357731e-06
"91",0.00734361834843283,0.014859906814648
"92",-0.00020050586937044,0.926670863746672
"93",-5.7946368053526e-06,0.999001951261172
"94",0.00371423460706371,0.100865243367617
"95",0.0125309138424322,0.00953728567400112
"96",0.00920405347876762,0.0173055042705746
"97",0.0169026527978395,0.000348249098046862
"98",0.0125814919735332,0.000238934204314994
"99",0.00571708865148903,0.101480042062569
"100",0.014443498965686,0.000216387262756193
"hippocampus_L",0.00589113565366423,0.00203623555368615
"hippocampus_R",0.00706501596632058,0.0240310115855866
