"Node","Estimate","P_Value"
"1",0.00106237907273183,0.58515698891802
"2",0.00830814475180027,0.125493773284673
"3",0.0081733867091751,0.00300892831060725
"4",0.00909201549023884,0.0407595624088285
"5",0.0105855855047895,0.0218840494546542
"6",0.00517144363397093,0.111020028243182
"7",0.0160024506913032,0.00014733259195444
"8",0.0147198314014962,0.000587606163817122
"9",0.0108656103235726,0.0217922112991109
"10",-0.0058342533417198,0.0922615874147911
"11",-0.000772747101563123,0.763311821997675
"12",-0.00199914844609375,0.602922603376982
"13",0.00213483398642379,0.538425462244676
"14",0.00730407123321152,0.0119689743509561
"15",0.010615058758868,0.00637214072877417
"16",0.0089487732338223,0.0260781911383944
"17",0.0172393635968925,9.55253906742263e-05
"18",0.0166952361005008,0.000269547126716587
"19",0.0108801989119696,0.00829485788701382
"20",0.0250648341016729,1.03387618139018e-06
"21",0.0123288127808885,0.00616194822974033
"22",0.0145591521679523,0.000961583258803694
"23",0.00766066807008305,0.0134821601912771
"24",0.0228810457956861,0.000539931947757018
"25",0.00501318177148929,0.00818620156721728
"26",0.0056293888924743,0.0404380322658745
"27",0.0127240088539088,0.00304814421851914
"28",0.0089656246575787,0.0599544350856624
"29",0.00727747635182934,0.0467530480973244
"30",0.00413434362172905,0.444501568131078
"31",-4.12146569909501e-05,0.982913866115969
"32",-0.00152259161504124,0.253050915738161
"33",0.00866041222849231,0.0041756702038943
"34",0.0252613229303128,3.58122288980822e-07
"35",0.015427371541403,6.39872201549206e-05
"36",0.017672291421662,0.00420197238515918
"37",0.0112895366238765,0.00120659480171425
"38",0.000722955886305098,0.772954298207899
"39",0.000716854749622933,0.882267658898949
"40",0.0063158888190994,0.24877465142987
"41",0.0250084147898754,6.18949215784088e-06
"42",0.00684831100988045,0.00765898481299873
"43",0.00532608041177966,0.163520031507401
"44",0.0117104320141335,0.0132039185830844
"45",0.00885650137100624,0.00382322638175639
"46",0.0124451602991856,0.0308657800532352
"47",0.0135560033043435,0.000388530543933733
"48",0.0110262068467604,0.00258611838882397
"49",0.00280925780631163,0.405621772550718
"50",0.0165262626603464,0.000206049214733028
"51",0.00339544163908157,0.116823698890144
"52",0.00603262651469341,0.0603750455262679
"53",0.00895660580040056,0.0056151807711414
"54",0.00709194029017018,0.0493489517070549
"55",0.00735011802250014,0.03814679316814
"56",0.00520059562556019,0.0331470952751087
"57",0.0109412340173813,0.00966408227221153
"58",0.0129677399388285,0.00188399305581489
"59",-0.000593868263506412,0.850286858060895
"60",0.000867778503046794,0.695060135464107
"61",0.00139250076466496,0.738909867407354
"62",0.0023472142552125,0.570376855372118
"63",0.00743016445592955,0.0888301058566435
"64",-0.000263266032372578,0.952794846809247
"65",0.00540877550687172,0.149807324592915
"66",0.00841389522706039,0.0321933783228301
"67",0.0213079956971953,1.20895156163408e-05
"68",0.0065684842493839,0.0537444521673365
"69",0.0148288282097779,0.00213244474346899
"70",0.0228019548245998,1.31340493270864e-05
"71",0.0210044408234712,0.000195224954192292
"72",0.0205729711815761,1.30434775896243e-05
"73",0.00976139900641057,0.00882548009514715
"74",0.0189005091261704,0.00185414064214302
"75",0.014619322867898,0.00237094107960297
"76",0.00554929960582225,0.100661598024598
"77",0.00560217698335134,0.0266977679904338
"78",0.00737926881558068,0.0980304078501138
"79",0.00640481602810272,0.00115226818311874
"80",0.00225305595289191,0.0810832907046968
"81",0.0235276785685685,3.34541664115013e-05
"82",0.0234348358471794,2.47901244817417e-05
"83",0.0108036805495026,0.000189068796002307
"84",0.0189433870593671,9.14229163968531e-05
"85",0.0131406689067014,0.0105999760302227
"86",0.0264898636189143,4.21211132486736e-06
"87",0.00960765023681879,0.00170675150899574
"88",0.00479556004032953,0.203168586493161
"89",0.0193419287444505,2.09333978713529e-05
"90",0.028504237051535,1.09660859725538e-06
"91",0.00842184799376609,0.00728287222537955
"92",0.002449055378632,0.268482741554809
"93",0.00497049939185293,0.287828045146844
"94",0.00403227309921384,0.0836808686690197
"95",0.013416848351405,0.0174671529291315
"96",0.0111783312337604,0.00564087187314465
"97",0.0185457051780816,0.00032853005841896
"98",0.0119040416021594,0.00104971980515333
"99",0.00293548112961616,0.347005082330085
"100",0.013811161629627,0.000145811394037989
"hippocampus_L",0.00469241862929447,0.00722792896069264
"hippocampus_R",0.00903231076302735,0.00368831338828472
