"Node","Estimate","P_Value"
"1",0.00107832912574368,0.556838914701949
"2",0.00793887349183933,0.133311838848043
"3",0.00825511020301974,0.00173309779428599
"4",0.00943850806541699,0.0282723629935298
"5",0.0105393306382062,0.0188498025729884
"6",0.00550181317483107,0.0654678941985846
"7",0.0176563912984134,6.68374975389452e-05
"8",0.0153714835414726,0.000149660007513687
"9",0.0117216678079979,0.0121223750314868
"10",-0.00346688473629505,0.303238180321144
"11",-0.000118892468555622,0.960838187765207
"12",0.000908792780375461,0.804933255370877
"13",0.00403213967041349,0.218631385768838
"14",0.00730463306458082,0.0127162167844928
"15",0.0108973165692434,0.00644196430304691
"16",0.00960427422571554,0.0163019049735743
"17",0.015925171753897,0.000136984735789022
"18",0.0174761780366034,0.000223384500962791
"19",0.0101619112029483,0.00910298414561145
"20",0.0252403999761976,1.47650951632492e-06
"21",0.0113329394955605,0.0102193149427602
"22",0.0162048611912294,0.000313733304100073
"23",0.00797412223448348,0.0130227345302644
"24",0.024182544412589,0.000271316684375968
"25",0.00545982666484063,0.0067195602722065
"26",0.00658128773953372,0.0172916083497097
"27",0.0126631356447641,0.00240547193084873
"28",0.011324751119783,0.0138490719862957
"29",0.00790048417198255,0.0208225485317699
"30",0.00391787685793421,0.455452831965824
"31",0.000412347891293553,0.835981284725752
"32",-0.00115812521475549,0.404751807017032
"33",0.0104298590975807,0.000781928739518649
"34",0.0259325433361557,5.78903294085069e-07
"35",0.016112497308983,0.000131036965554426
"36",0.0191184283828891,0.00136027513122541
"37",0.0132034185851983,0.000218695040482407
"38",0.00277449276986978,0.273281881428745
"39",0.00412272220764266,0.418265237436774
"40",0.00659656765300317,0.230125414214111
"41",0.027062801928319,3.62094299897646e-06
"42",0.00764739135223928,0.00512920827654003
"43",0.00648172128115129,0.0917764852439829
"44",0.0149268886880535,0.00335550154696701
"45",0.0108292707365316,0.000790593669016963
"46",0.0158469283621097,0.00809272509146299
"47",0.016670146881517,2.60221024278182e-05
"48",0.0117182371148595,0.00132907051807915
"49",0.00291591236179086,0.38964836088871
"50",0.0179192428180911,0.000137230667374319
"51",0.00344933457172441,0.0760901845238786
"52",0.00648849309874259,0.0395257616793506
"53",0.00943138174103682,0.00423203392151573
"54",0.00753186619836659,0.0348446216401179
"55",0.00761201224315476,0.0270808177159789
"56",0.00483249630505305,0.0423552210066415
"57",0.0112246375264675,0.00740374715400058
"58",0.0143587496225203,0.000580353866148358
"59",0.0015169651475655,0.614419145130747
"60",0.00217261551623247,0.371208315288686
"61",0.00217950806095645,0.602018894809288
"62",0.00323898583377227,0.42201782315946
"63",0.00733763945030299,0.121717440607609
"64",-0.000232268984707491,0.957312730848838
"65",0.00473276009349962,0.196491704990436
"66",0.00956262949567465,0.0170948977904441
"67",0.0225463428213483,5.20901617051633e-06
"68",0.00675422546883188,0.0513251984867708
"69",0.0149705795198303,0.00168354880343731
"70",0.0240714753448095,1.59689877091918e-05
"71",0.0217744761931937,0.000360292065281159
"72",0.0210725360023791,1.18984469207102e-05
"73",0.0106028081690505,0.00476259533985578
"74",0.0209940962064212,0.00069616045327231
"75",0.015927875298709,0.00107168864497883
"76",0.00639321618677438,0.0554482413569946
"77",0.00640386500523204,0.0142111148193896
"78",0.00848630754112448,0.055438514201519
"79",0.00698883938426118,0.00111838949968137
"80",0.0031467264042809,0.0150564268628299
"81",0.0234710754457678,4.24171657562076e-05
"82",0.0261959478342688,1.20162433197058e-05
"83",0.0128357173628753,3.27892893710473e-05
"84",0.0207790308811612,5.6023643766675e-05
"85",0.0152543724764543,0.00476030945372681
"86",0.028494453829624,1.56405412273762e-06
"87",0.0111537904202716,0.000515272111133993
"88",0.00696349543480256,0.0793179482349692
"89",0.0218040835437834,4.705360942483e-06
"90",0.0314973441173786,9.3536702944391e-08
"91",0.0093140699331857,0.00400300633283299
"92",0.00391379319127514,0.100630313904178
"93",0.0098095195334588,0.0420915779613837
"94",0.00502792715700954,0.0283382009417815
"95",0.013601680237738,0.0133542276730529
"96",0.0135141992935286,0.00129527705725422
"97",0.0214672677424,8.92168359997157e-05
"98",0.0137158725410542,0.000150613118538583
"99",0.00290630649498272,0.379641918773333
"100",0.0164987768781794,1.07519328503448e-05
"hippocampus_L",0.00560905580533755,0.00209264072096937
"hippocampus_R",0.0109342347258886,0.0010636031423591
