"Node","Estimate","P_Value"
"1",0.00118178091732563,0.543498114353149
"2",0.00703240770960249,0.157341989271513
"3",0.0073836944997691,0.00577510268876668
"4",0.00939570836864907,0.0155259070585222
"5",0.0092004760513428,0.0323705666145745
"6",0.00447953625650691,0.120681263570136
"7",0.0149265718522974,0.000567443435635519
"8",0.0144553328504529,0.000137610065331393
"9",0.0123162649318727,0.0122317093824627
"10",-0.00332446155447868,0.323087135120016
"11",0.000698260096795402,0.777860819324545
"12",0.00157526922130118,0.673825975530667
"13",0.00368220289889841,0.22073129300076
"14",0.00454813624745358,0.115476180024604
"15",0.00999004982368835,0.0100410697590292
"16",0.00938067507571487,0.0117082220677731
"17",0.0144286600940947,0.00118510511945991
"18",0.0154021429880461,0.000200925342448344
"19",0.00795485357677398,0.0388521191965891
"20",0.0232612248069593,1.29111317004101e-06
"21",0.009590543249504,0.0343074566058026
"22",0.0164883748933927,0.000299485002054865
"23",0.00805435352174145,0.0187561026028178
"24",0.0232985722224893,0.000742563933050462
"25",0.00483951808740584,0.0230788082937056
"26",0.00672244244178993,0.0281036093696959
"27",0.0131505966145404,0.00157920364237942
"28",0.0104337875332292,0.0240657768464935
"29",0.0081296699263307,0.0162192610588317
"30",0.00221443290497655,0.62969026820445
"31",0.000919336454626638,0.633057731323535
"32",-0.00104049707761952,0.441644078624296
"33",0.0107857511881063,0.000244152862721112
"34",0.0235197419802125,3.17395805044189e-06
"35",0.0170957246998015,3.12241383126659e-05
"36",0.0176144399517435,0.00332970419289274
"37",0.0135353579646438,0.000140869762423526
"38",0.00382544837123209,0.107659138881622
"39",0.00426151037110313,0.365388558748768
"40",0.00529935828956861,0.307200281525574
"41",0.0273986453884058,3.04321690144163e-06
"42",0.00677994415325299,0.0161048374229054
"43",0.0076571599489475,0.0515013633780585
"44",0.0154331700784117,0.00116355008196298
"45",0.00993769378865828,0.00132359894619255
"46",0.0158849750960598,0.0048091555407018
"47",0.0177513472483993,1.82437656212526e-05
"48",0.0121947530972148,0.000401413257760863
"49",0.000258853735162322,0.93197414344069
"50",0.0175998497895918,4.12238923819081e-05
"51",0.00374526026701001,0.0797296222175924
"52",0.00564521312742402,0.0771277169602192
"53",0.00793307390190187,0.00993498050476098
"54",0.00717929906378551,0.0478672891779885
"55",0.00670566375584335,0.0490928894518876
"56",0.00428048187092914,0.0542553796791568
"57",0.00938390051979707,0.0210223832201674
"58",0.0143356152264248,0.000390351008917394
"59",0.00198942594813985,0.501075423413274
"60",0.003685928810082,0.137465042772312
"61",0.00220794987931738,0.597112295132278
"62",0.00364365913392501,0.32393125037299
"63",0.00769293904137015,0.116496777321206
"64",0.000959580506736055,0.808294960303031
"65",0.00642314231642218,0.0675312240201015
"66",0.0084091843659366,0.0279727088218259
"67",0.0192918298990822,3.87529243446498e-05
"68",0.00779048054806458,0.0274193831936756
"69",0.0137738407668431,0.00276708576206762
"70",0.020952334608523,0.000450516880939567
"71",0.0198105786092728,0.000462279604848977
"72",0.0193464801314789,5.2052699138395e-05
"73",0.00873570105950649,0.0214327834749967
"74",0.0163608012985131,0.00489104286617568
"75",0.0128459511718144,0.0067052774760302
"76",0.00551429950636941,0.103439872581832
"77",0.0058299424586224,0.0324294368295696
"78",0.00580131621027616,0.142982305686274
"79",0.00756112719351645,0.000519461770865848
"80",0.00358253950061689,0.00645175679122918
"81",0.019336846331913,0.000374597584097294
"82",0.0250866506790923,1.3262565404426e-05
"83",0.0120617380120178,5.64727809609083e-05
"84",0.0192738617136541,5.40814329453984e-05
"85",0.0146068681184743,0.00583249627726284
"86",0.0241887127438866,1.69264916547587e-05
"87",0.0102172238969782,0.000709725313187511
"88",0.00565970350515346,0.158571869253646
"89",0.0183715735949343,8.47471527857169e-05
"90",0.0284465585394666,8.26836914162458e-07
"91",0.00987033859140934,0.0016515754868556
"92",0.00314775708984448,0.15173978773488
"93",0.00708635319483421,0.139889578931504
"94",0.00374075427321954,0.0602571837013483
"95",0.0130022491817854,0.0135141598842204
"96",0.0128989720729766,0.000856203286420548
"97",0.0214056311886507,8.70892829423612e-05
"98",0.0128244363612073,0.000440445101204801
"99",0.00325340275316295,0.333766205833229
"100",0.0155137628958765,1.4147874591797e-05
"hippocampus_L",0.00543032003108941,0.00241362130185772
"hippocampus_R",0.00801675744769004,0.00598614718561974
