"Node","Estimate","P_Value"
"1",0.00089601037493512,0.640955637955402
"2",0.00830979272399633,0.0942596478822537
"3",0.00724910412597066,0.00625906615671695
"4",0.00940689848860498,0.0103365576372124
"5",0.00949204905516931,0.0215708229678603
"6",0.0044763279735279,0.12696959042414
"7",0.0151714143632656,0.00049575847268654
"8",0.0144587300496526,0.000183393146728115
"9",0.0126101944734671,0.00905361182868754
"10",-0.00071339523487781,0.82887721499592
"11",0.00124959284637923,0.592156124640743
"12",0.00378901504106513,0.319222577268012
"13",0.00400428057602471,0.177361197259305
"14",0.00490171307791762,0.0976380871903457
"15",0.0105452091789202,0.00656933174109662
"16",0.00974387689875732,0.0107543054612543
"17",0.0147615458435512,0.000957129767622718
"18",0.016102421541363,0.00011443748417331
"19",0.00906895136894051,0.0243432711141919
"20",0.0234985901104359,3.70573819994733e-06
"21",0.00968813118815922,0.0293004732349252
"22",0.0171318256269298,0.000182719593390563
"23",0.00884037725631742,0.00917536926319317
"24",0.0251157914371136,0.000313645252505198
"25",0.00484785112025544,0.0235335568698027
"26",0.0071139246787007,0.0241031630410753
"27",0.0142557879089791,0.000740088207269754
"28",0.0112513159114691,0.0136524556744734
"29",0.00831772317929829,0.0135331929501817
"30",0.00364751073156727,0.406875092564983
"31",0.000502656249650174,0.796727318074507
"32",-0.000864893000798331,0.532119761962831
"33",0.0107011627009788,0.000205868144798718
"34",0.0235675316274765,1.39155834751012e-06
"35",0.0176186624499608,2.44754903059012e-05
"36",0.0175612971577956,0.00263306404169244
"37",0.0142176336244324,6.29649123248104e-05
"38",0.00510193487682002,0.0356856771867864
"39",0.00661841587332891,0.163787419924867
"40",0.00701348639359209,0.186122506008221
"41",0.0272964795722898,3.4971764789944e-06
"42",0.00718056656026054,0.00956786560263304
"43",0.00880595747971056,0.0267836828994783
"44",0.0152570413024869,0.00123757547498747
"45",0.0101433103269649,0.00127436409132209
"46",0.0165899982022074,0.00296651062153728
"47",0.0179906068316856,1.09538238826408e-05
"48",0.0121726703607115,0.000464089513280065
"49",0.00121902004227909,0.698528383135053
"50",0.0174951318573549,4.50148372756758e-05
"51",0.0034260163425081,0.0982506184094156
"52",0.00574754212747509,0.078819571484743
"53",0.00764406841365957,0.016056260850775
"54",0.00696558263596554,0.0420161400545452
"55",0.00695982079080083,0.0462959705713709
"56",0.00400227469666743,0.0670574376349313
"57",0.00954386434196104,0.0177925645025354
"58",0.0148787667063698,0.000249104413522527
"59",0.00356131250370863,0.23336462433964
"60",0.00465886392749883,0.0664968220069953
"61",0.00427861730786586,0.304616504268678
"62",0.00370131509299145,0.314275487123196
"63",0.00793948381987973,0.106134661371005
"64",0.00129782110111661,0.732973578765433
"65",0.00605630998903465,0.0752560677826906
"66",0.00837958602017643,0.0295809027597325
"67",0.017358805800841,0.000153832646814252
"68",0.00793941611340138,0.0263564250953853
"69",0.014500536975053,0.0019519722454421
"70",0.02183236580845,0.000295510077954735
"71",0.0203225350870728,0.000588320324725771
"72",0.019302545886778,6.16393272550585e-05
"73",0.009680182070004,0.0125387699014705
"74",0.0172581123454082,0.00283217470900142
"75",0.0145760687835023,0.00267249365715011
"76",0.00615747576904334,0.0783573790546397
"77",0.00577155366112393,0.0414720221567459
"78",0.00627539908066535,0.109572129133177
"79",0.00779022346072068,0.000311727900511331
"80",0.00341420451826691,0.009730976044968
"81",0.0183561867627469,0.000779720965113522
"82",0.0243607251290353,3.15067537238489e-05
"83",0.012729646127915,3.66610326310168e-05
"84",0.0186091995970347,8.93257807839415e-05
"85",0.0145975129327901,0.00610028823627683
"86",0.0242971720112254,2.69914347432046e-05
"87",0.011244882806277,0.000252613845443139
"88",0.00591155707083019,0.140618006359594
"89",0.0184961693417741,0.000131198205508558
"90",0.0278552323978068,1.99990526589973e-06
"91",0.00940087270717073,0.00187191390679933
"92",0.00389336997347971,0.0736854165241068
"93",0.00909875949028792,0.0664838214777704
"94",0.00328233021230082,0.103897783053886
"95",0.0131120470931942,0.0114621905105162
"96",0.0131566245950145,0.000593413216884954
"97",0.0216288844224161,8.14659547206091e-05
"98",0.0134217178435109,0.000595929965783233
"99",0.00310556134016248,0.357477196754238
"100",0.01535673678206,1.30982735901776e-05
"hippocampus_L",0.00519900368614706,0.00417283569030249
"hippocampus_R",0.00631444182438782,0.0320471853932591
