"Node","Estimate","P_Value"
"1",0.000937849449825313,0.625574863228739
"2",0.00810041339462573,0.101965029653756
"3",0.00713397463237719,0.00723090668901554
"4",0.00948147555478988,0.0109481024940185
"5",0.00930714109556666,0.0235274742746428
"6",0.00460943624946668,0.120306071389042
"7",0.0150119010308215,0.000530277347673846
"8",0.0144980083076969,0.000144899692680056
"9",0.0123543531309696,0.0108082139091334
"10",-0.00137286531930673,0.676227408564616
"11",0.00094719932062139,0.688015440877036
"12",0.00317708801623436,0.399500520275697
"13",0.00390052038865415,0.188817488946827
"14",0.0049276648775436,0.0930804272107075
"15",0.0105500457174627,0.00674088471317157
"16",0.00962376535337955,0.0110551470970372
"17",0.0148755076754877,0.000908723759457501
"18",0.0161472467528727,0.000108235573126226
"19",0.00898669685756663,0.0261534595346317
"20",0.0236946653829571,2.67373833625543e-06
"21",0.0095086051934923,0.0319531670026341
"22",0.0172153011532653,0.000164388993546937
"23",0.00882103983020378,0.00935055937137104
"24",0.0247384041721149,0.000396959716152103
"25",0.00493024566671422,0.0213651046463495
"26",0.0070743955747663,0.0228427832835268
"27",0.0139983870725647,0.000837247594752417
"28",0.0110429129001138,0.0161289925205277
"29",0.00842702026964839,0.0135240785427572
"30",0.00359391619699596,0.414939851623065
"31",0.000521513394726299,0.789231049615022
"32",-0.000810854521781664,0.559822801587036
"33",0.0107423663647942,0.000175302849659428
"34",0.0237150634897718,1.37051043970393e-06
"35",0.0176023880260373,2.19551357008564e-05
"36",0.0173020957851297,0.00289896540785159
"37",0.0140942420936765,6.84054853681988e-05
"38",0.00493999070257284,0.0401235230977693
"39",0.00643807205438428,0.171381070444066
"40",0.00642029777316523,0.219392567856242
"41",0.0273549462356052,3.08687099560496e-06
"42",0.00726893944385539,0.00856570876444895
"43",0.00869117049914795,0.0264728055827443
"44",0.01526685585944,0.00134404443354735
"45",0.00987727051744551,0.00188017779649881
"46",0.0164785230638532,0.00307172623020739
"47",0.0179702332071258,1.09069646363356e-05
"48",0.012472470464792,0.000333577185917141
"49",0.00102345339033155,0.744373157328052
"50",0.017452301075856,4.4652231211383e-05
"51",0.00340463372186908,0.0997786197054918
"52",0.00545774327515269,0.094580162181498
"53",0.00773661776972575,0.0136436010867119
"54",0.00677875722723176,0.0506042004592484
"55",0.00689188398292383,0.0491414771794522
"56",0.00393152832615771,0.0706047663113138
"57",0.00950945546859629,0.0185564552691221
"58",0.0147423055706088,0.000285022160278002
"59",0.00322366155296521,0.280030668702228
"60",0.00414992108928418,0.099562245792413
"61",0.0038238077005446,0.359708603202486
"62",0.00376327473036509,0.310404985225696
"63",0.00783457144078609,0.11187074720591
"64",0.00125643005318421,0.742194404391454
"65",0.00627813910548637,0.0678847341579024
"66",0.0083427647054113,0.030144459791883
"67",0.0178058670891833,0.000110144413474919
"68",0.00796595419067621,0.0264188729636476
"69",0.0145862902291706,0.00189459736648951
"70",0.0218609878287633,0.00028884278285827
"71",0.0202700154357921,0.00056700894013241
"72",0.0193872695846407,5.66558031461095e-05
"73",0.00951697233862813,0.0138441594375194
"74",0.0170927932767981,0.00312477615573288
"75",0.0141878039236691,0.00332985054541538
"76",0.00614972391073774,0.078373721718656
"77",0.00583811270721879,0.0372574350464489
"78",0.00607196184565062,0.12150692780222
"79",0.00772683344009908,0.000380750044083447
"80",0.00351139862083516,0.00765967624565443
"81",0.0184432552056975,0.0008404758173219
"82",0.0244922640799318,2.74710553625724e-05
"83",0.0127030484924083,3.74325072718074e-05
"84",0.0184470722104515,0.000100574993976995
"85",0.0144918219863819,0.00613558884968824
"86",0.023953664882889,3.02178707150458e-05
"87",0.0111116897049905,0.00028124407706266
"88",0.00586411659156273,0.141520756928169
"89",0.0187319615889784,0.00010265257549002
"90",0.0277365010855845,2.04592674292721e-06
"91",0.00940896230033309,0.00184659223065506
"92",0.00365469074779774,0.0942608996628874
"93",0.00884420276443776,0.0734265789126985
"94",0.00333462387660559,0.0961507443946624
"95",0.012885145831754,0.0129539118485873
"96",0.0131244402681137,0.00067753258140166
"97",0.0214306429687779,8.86472865381983e-05
"98",0.0134777257134306,0.000451490933302282
"99",0.0031625219001158,0.345439614108997
"100",0.0154327423636786,1.5145485069728e-05
"hippocampus_L",0.00544090032229238,0.00268001437748488
"hippocampus_R",0.00692953883469882,0.0172258694386546
