"Node","Estimate","P_Value"
"1",0.00178765063486543,0.376746802901036
"2",0.00830538848021228,0.136544570061119
"3",0.00791225451881771,0.00429980428451716
"4",0.00961334937650093,0.0313100122910695
"5",0.0111214041328645,0.0174845913293235
"6",0.00537895067422,0.0782604925438606
"7",0.0147413302327471,0.000305898781671243
"8",0.0142263279686022,0.000646621349732871
"9",0.0113343975330823,0.021464012088138
"10",-0.00829162804886152,0.0199012906094436
"11",-0.00144112758282464,0.599679471995751
"12",-0.0044516147489627,0.256167740336506
"13",0.00218404879685375,0.531421790182864
"14",0.0067089838834955,0.0307195285234797
"15",0.0098550524273706,0.0142804401870229
"16",0.00966661952218935,0.0189980494319742
"17",0.0181652207668291,7.36380183319885e-05
"18",0.0178280833902851,0.000131760513799807
"19",0.0111827638381613,0.00844978469690284
"20",0.0256097645456316,2.37608174235897e-07
"21",0.0129715462156579,0.00326753718317578
"22",0.0143944045446164,0.000651437816899481
"23",0.00739672373664037,0.0139179911064879
"24",0.0205234108243025,0.00143124710809318
"25",0.00435225054658125,0.0180911649319208
"26",0.00496689423618231,0.0701158275564674
"27",0.0116060262177332,0.0108958471053517
"28",0.00698335203136634,0.141108299006298
"29",0.00837420791479943,0.0214361630857443
"30",0.00175414195018954,0.755565825357442
"31",-0.000532064726031493,0.778678372055901
"32",-0.00139087169256713,0.293162902609074
"33",0.0080149342639253,0.0122814851440946
"34",0.0268279103179766,2.85211400171365e-07
"35",0.0147873553786799,9.74683930314717e-05
"36",0.0188190947001184,0.00430432208951525
"37",0.0111956458816619,0.002136619652264
"38",-0.000903823486604223,0.724148663294686
"39",-0.00247659909840978,0.615210326420313
"40",0.00370277802544586,0.506637105624832
"41",0.0256817161504512,3.76048410507616e-06
"42",0.00636171538126873,0.011650699843712
"43",0.00455446014448578,0.229900117865308
"44",0.00999799714884896,0.0321371027529478
"45",0.00989396262204235,0.0011815769590863
"46",0.0116781666650496,0.0378061478370088
"47",0.0127580840957167,0.000427386634831851
"48",0.0109459484939278,0.00313104838640025
"49",0.00366349929117973,0.272725304465302
"50",0.0164072867745144,0.000251934601957219
"51",0.00288618529586408,0.15179609986732
"52",0.00549764340403974,0.098150944187927
"53",0.00892859194744772,0.00770019355324765
"54",0.00676011301766966,0.0671456825769792
"55",0.00811367794362841,0.0208299188126133
"56",0.00470700480407433,0.0681681574228848
"57",0.0119276463563016,0.00468591896652166
"58",0.0138969674273652,0.00156726869496005
"59",-0.00296280487448678,0.299542577913905
"60",0.00106616538039873,0.655689482623463
"61",-0.000407769990356139,0.918883290224416
"62",0.00306602507807594,0.467294988517839
"63",0.00714937042175877,0.0801592818896129
"64",0.000252968043434244,0.953093654877458
"65",0.00748701519898541,0.0456851395704957
"66",0.0087195339603945,0.0338878754891491
"67",0.0209143057620015,1.33954976476001e-05
"68",0.00756074665490239,0.0276655621285936
"69",0.014343606390504,0.00264202678176276
"70",0.0238930549572089,6.85453298372335e-06
"71",0.0216377037202808,0.000150298844567779
"72",0.0202871226193876,9.66781390093683e-06
"73",0.00945901254830388,0.0127838612689597
"74",0.0168509526774236,0.00453378660396877
"75",0.0140377500076664,0.00168442915482576
"76",0.0050926673940438,0.119296817068781
"77",0.00531836495885249,0.0335839292005395
"78",0.00617823559738538,0.158236994829126
"79",0.00558727839893616,0.00375705408613826
"80",0.00174502836102884,0.180488093923501
"81",0.0231352358597811,1.63260452678394e-05
"82",0.0257362579265685,7.19020642800692e-06
"83",0.0103314218847742,0.000339387222621801
"84",0.0183323596480344,0.000209824265452243
"85",0.0119920453078693,0.0132485494348825
"86",0.0255698881174604,1.77210008496786e-05
"87",0.00973942233934177,0.00204755169111948
"88",0.00386504537447132,0.309822377300311
"89",0.020674042893083,1.22920527467077e-05
"90",0.0285293040325681,9.32665050668075e-07
"91",0.0084625414890651,0.00841823373244417
"92",0.000533466855996747,0.809577012501554
"93",0.0023632793123465,0.601326140772313
"94",0.00351096196078323,0.106846526968581
"95",0.0124064682022518,0.0210836881387295
"96",0.00992709030364732,0.0135378486472268
"97",0.0175878927804985,0.00058202330627161
"98",0.0117100197194124,0.00117873685609708
"99",0.00409366374426563,0.205936029040286
"100",0.0146677921669075,0.000128368441713493
"hippocampus_L",0.0046521569499901,0.00746075744709062
"hippocampus_R",0.00838615028660185,0.00405008677226446
