"node","estimate","p"
"1",0.00233514631807319,0.182509216959019
"2",0.00745869556880114,0.135507498876851
"3",0.0080451411938049,0.00229945954288616
"4",0.00855607812734603,0.0315534430571779
"5",0.00834793257870638,0.0396994665399887
"6",0.00604998568587078,0.034509219746698
"7",0.0169540565017709,5.66761758092404e-05
"8",0.0143307566917174,0.000484953376738009
"9",0.0128303857246922,0.00865469910465673
"10",-0.00223363389539776,0.492052353873529
"11",0.000219713952417455,0.925357589885373
"12",0.00206232622157156,0.578908750006224
"13",0.00457059782837867,0.156556145177647
"14",0.00648401604843598,0.0214754365893781
"15",0.0113910569719166,0.00385978852312173
"16",0.011627220654225,0.00301784117808575
"17",0.0161935580356558,0.000226778249745282
"18",0.0175781938788471,4.79127621157456e-05
"19",0.00875512993997611,0.0185205863216803
"20",0.0265969357924718,2.17252829899806e-07
"21",0.0109239184336076,0.010526215758432
"22",0.0186310718363306,9.61562372844354e-06
"23",0.00847801586722064,0.00553982657218044
"24",0.0252697213059834,5.71830427606995e-05
"25",0.00565058094664026,0.00475994169824301
"26",0.00754959180630902,0.00629208847746661
"27",0.0137422441994006,0.00029878458379924
"28",0.00800661066630054,0.0611253484672126
"29",0.00849694598744897,0.0164008308989813
"30",0.00421766633713793,0.343711063827664
"31",0.000642448239009746,0.70962592623807
"32",0.000105252502068122,0.93832849351277
"33",0.0106012711727736,0.000331685629428208
"34",0.0244589793487512,3.94545389480856e-07
"35",0.0166105605089192,8.87490957302665e-06
"36",0.0194699101798565,0.000744061049223937
"37",0.012034825223389,0.000380999914730725
"38",0.00227033072126878,0.317371785245255
"39",0.00368179723253195,0.393545631978943
"40",0.00910852894054297,0.0724484412297443
"41",0.0280597670475853,3.22972551185636e-07
"42",0.00686046695702117,0.00498840485268663
"43",0.00812252330820186,0.0206144156779858
"44",0.0137965814139714,0.00224140951154696
"45",0.0100659983285419,0.000324884771470459
"46",0.0168923652337763,0.00099038737460861
"47",0.0178462119834545,7.99879971568145e-07
"48",0.0135079894679245,0.000230000958387223
"49",0.003986105547515,0.187246616213422
"50",0.0191526345893306,5.74295288419068e-06
"51",0.00397844264226131,0.0421475855998722
"52",0.00616645142438451,0.0536841078544703
"53",0.01128067248463,0.000714541868867049
"54",0.00930099669289634,0.00527722973927028
"55",0.00732565688354331,0.023197448437875
"56",0.00482247187643639,0.0458727130916173
"57",0.0106459081409466,0.0120412950727166
"58",0.0131407226327139,0.00158560088766695
"59",0.00169405172127795,0.56125049054699
"60",0.00322364690872033,0.147701841724036
"61",0.00403149176904213,0.308640799686885
"62",0.00467827230803286,0.247348645844438
"63",0.0080210959706189,0.0756052827780198
"64",-0.00049679342447614,0.896116129273645
"65",0.00592018248316144,0.0740948995964069
"66",0.00890698774784168,0.0196522261675172
"67",0.0227962423376168,1.30723448488312e-06
"68",0.0067354628189609,0.0436940658894904
"69",0.0146682794258207,0.000576828832514613
"70",0.0223331524399973,1.66084538120951e-05
"71",0.020983548893801,0.000251047500605503
"72",0.0214597548324438,3.49423872661406e-06
"73",0.0113214727253555,0.00130661594689792
"74",0.0198045803383886,0.000563521483005867
"75",0.0170423301299746,0.000193308626365876
"76",0.00746064096696425,0.0124394605426327
"77",0.00651912546031753,0.00977656087120835
"78",0.00681502883418802,0.0540640269441163
"79",0.00686102346031538,0.00134396780257878
"80",0.00322691989112538,0.00743345115434721
"81",0.0233579391606412,3.3106701321108e-05
"82",0.0275754424374996,3.9670478265571e-07
"83",0.0130266366158294,3.75683493674982e-06
"84",0.0206785772148526,1.55665685502441e-05
"85",0.0140417800844111,0.00406262779811852
"86",0.0288370900395783,2.32954975992162e-07
"87",0.0104521554766034,0.000175495851791104
"88",0.00581723240043533,0.10940579645422
"89",0.0208509365415778,1.14826707665845e-05
"90",0.0322587831331221,7.84474676813777e-08
"91",0.00920810857895818,0.00129574711749259
"92",0.00189080672513967,0.383612698113117
"93",0.006663504256195,0.14242043603391
"94",0.0046551887703222,0.0282551506513887
"95",0.0160032850542746,0.000949462241532926
"96",0.0125491432741409,0.00103266372224332
"97",0.0213155806241203,3.02123245236142e-05
"98",0.0139036332269751,0.000222579601397972
"99",0.00557214309027917,0.0705937993534776
"100",0.0160430704979303,1.2561546214008e-05
"hippocampus_L",0.00654125686485131,0.000228229150098235
"hippocampus_R",0.00576594214222734,0.040530105083001
