"Node","Estimate","P_Value"
"1",0.00148481086215663,0.428004154255223
"2",0.0094662528895547,0.0947516885807819
"3",0.0086727353494833,0.00311979004549865
"4",0.0106285226858745,0.0213015958960478
"5",0.0116398020669486,0.0158833071554876
"6",0.00762425942481534,0.0153159742495282
"7",0.0150657507923052,0.000188402026000338
"8",0.0141849605269217,0.000893057005735786
"9",0.0122553512654664,0.0184754561162051
"10",-0.0123649507335,0.00140219679151413
"11",-0.00357795179628501,0.206986928767806
"12",-0.00704161097425633,0.0871681811245938
"13",0.00173119018138652,0.634170122633576
"14",0.00615853460662706,0.0454596045405106
"15",0.010168264633706,0.0123194872876944
"16",0.0101995059932783,0.0175613077120617
"17",0.0170188732449667,0.000187438188102156
"18",0.0169963108632566,0.000335576856511907
"19",0.00833104654635451,0.0433587294356768
"20",0.0272379283699225,3.76511657265419e-07
"21",0.0130312963757015,0.0032725241241934
"22",0.0139726872774816,0.000706255702476608
"23",0.00613998528414143,0.0371261534658595
"24",0.018723910483101,0.00191328596523994
"25",0.0040761955086858,0.0432866063444908
"26",0.00417947627057521,0.0945394053013717
"27",0.0108212376528651,0.00895226234824085
"28",0.00614303889684446,0.175549380493992
"29",0.00821162632200548,0.0256479849567828
"30",0.00325104728060354,0.564343608155642
"31",-0.000405390465113554,0.813660657956983
"32",-0.000560875473285736,0.667015290890731
"33",0.00837640143145721,0.0162559150667474
"34",0.0260913599885726,1.68345493482681e-07
"35",0.0130229574237373,0.000680671673210747
"36",0.0194303161437092,0.00573624861636203
"37",0.0101905785895887,0.00329397152945577
"38",-0.00243564584294089,0.340524537988776
"39",-0.0053971355772925,0.241646761931754
"40",0.00176845960111082,0.734981641046009
"41",0.0253458351509493,1.79787532818057e-06
"42",0.00593066390964399,0.0244108948164406
"43",0.00242896978543656,0.498908490150536
"44",0.0100048373699103,0.0289173962554074
"45",0.00886359214306621,0.0013191206903758
"46",0.0101618513608054,0.0533611854855076
"47",0.0108636094463127,0.0014992373828564
"48",0.0105135306684646,0.00697461275179638
"49",0.00580003732486132,0.0963693493714907
"50",0.0169689833595483,0.000126075828003591
"51",0.00369982777468048,0.0786251664875216
"52",0.00740588759381629,0.0214060714488725
"53",0.00879168325100105,0.00979889769666284
"54",0.00832308633511692,0.0246718996206196
"55",0.00936195639872386,0.0063398782500582
"56",0.00545552916036844,0.0520914786122766
"57",0.0115316180974549,0.00660131315412571
"58",0.0119348914182012,0.00823654883640843
"59",-0.006144696331176,0.0470938523212274
"60",-0.00124334277367694,0.579805939560689
"61",-0.00422251023959141,0.331244821759346
"62",0.002538070349679,0.551638389932538
"63",0.007173579480669,0.0864280817122777
"64",-0.000645786967606265,0.883829202360863
"65",0.00679091638025997,0.0712438062462476
"66",0.0083065872292925,0.0456022549775739
"67",0.0214106758066502,7.2896168129908e-06
"68",0.00637255489036895,0.0676702919220206
"69",0.0117618152632999,0.00786777547712267
"70",0.022725651217247,4.21022571600786e-06
"71",0.0205577295755651,0.000257339386432486
"72",0.019584090028649,9.6038946258846e-06
"73",0.00891260144668462,0.0159827940769695
"74",0.0152783705636282,0.00958206105105825
"75",0.0134723388959902,0.00209752862199238
"76",0.00464010671500075,0.121344365267572
"77",0.00556004992611125,0.0262197286687886
"78",0.00618937339038683,0.132065489073324
"79",0.00530517048303786,0.00745724363322776
"80",0.00148625816170606,0.233633078342886
"81",0.0211753682748679,0.000135163469668408
"82",0.0258816590589023,1.08631186096438e-06
"83",0.00991209183094112,0.000275450782303283
"84",0.0182384515729177,3.19789897773949e-05
"85",0.010726627047444,0.0260066238632322
"86",0.0272657769191729,1.58839648794761e-06
"87",0.00965972000017143,0.000879300675977687
"88",0.0021716158721744,0.567149179348365
"89",0.0200483590865508,1.76426743540294e-05
"90",0.0286637307189738,5.25765244400494e-07
"91",0.0072841143696731,0.0151348082408303
"92",-0.00139453621109578,0.537899186658697
"93",-0.00243962524063454,0.602113051236588
"94",0.00395434316201293,0.0745735992009669
"95",0.0124903718783394,0.0118451158798071
"96",0.00971534338236695,0.0119737382807934
"97",0.0167851616886463,0.000384748653305745
"98",0.012152863449451,0.000618725581817103
"99",0.00499101756053941,0.160639445072382
"100",0.0142452425338586,0.000284533370793965
"hippocampus_L",0.00578814993963456,0.00194502216664968
"hippocampus_R",0.00733526930274179,0.0196886135767349
