"Node","Estimate","P_Value"
"1",0.00234876993201028,0.218042736064682
"2",0.0110930696963436,0.0415147953922034
"3",0.00922004166877543,0.00164941598155549
"4",0.0116862238179486,0.0161282627372704
"5",0.0118233297043125,0.0112470176831284
"6",0.00853917098793137,0.00442935399977829
"7",0.0179388732653974,3.59806586494712e-05
"8",0.0139226854995244,0.00114079562851514
"9",0.0122697677972585,0.0148299848968325
"10",-0.00949257006748123,0.0178924417271769
"11",-0.00251075520464557,0.373692017685538
"12",-0.00497837492426117,0.232777572396782
"13",0.00359005055431657,0.338226385447335
"14",0.00788460124067284,0.0117510334777025
"15",0.0109321250721028,0.0106240833481361
"16",0.0125434185255888,0.00238675236712739
"17",0.0169519317197278,0.00016354270019264
"18",0.0171832421538692,0.000287272538017932
"19",0.00881973263449414,0.0332429046691122
"20",0.0264875872699182,2.54374952775206e-06
"21",0.0115211474497194,0.0122422703642562
"22",0.01552294120126,0.000140347936589697
"23",0.00672852086349262,0.0231776929992364
"24",0.0226508018430093,0.000469345203164224
"25",0.00484772052545474,0.012141694093531
"26",0.00493107430907122,0.0562326819932289
"27",0.0103457119593867,0.00867898501413702
"28",0.00510809784727039,0.252299085281134
"29",0.00886318364456202,0.0232519245718499
"30",0.00322461478548494,0.553157105567985
"31",-0.000232892951145892,0.895592123555997
"32",0.00013722222841317,0.911093826180458
"33",0.00956143505252747,0.00687540824203744
"34",0.0252492656577725,4.74903015235261e-07
"35",0.0143247926774599,9.17494345451579e-05
"36",0.0188373399332069,0.00437128971554272
"37",0.0104868216832159,0.0024543319641034
"38",-0.00131848777091838,0.590669854837072
"39",-0.00189007841298428,0.679268689804492
"40",0.00719879583359943,0.182019586668951
"41",0.0266789637898266,6.38362564025627e-07
"42",0.00712610707616325,0.00972024526335402
"43",0.00615623682498472,0.0852967664474962
"44",0.00986393825487419,0.0212342725727076
"45",0.0102728829885367,0.000237643679718165
"46",0.0124223619522705,0.0213998665380668
"47",0.0127362494459442,0.000367054074969176
"48",0.0112234419026541,0.006515094328008
"49",0.00697479892292285,0.0414676302974408
"50",0.0175708802808116,4.55837385310426e-05
"51",0.00435086229469854,0.0293842145328758
"52",0.00853129564302924,0.00558195877180657
"53",0.0103935537832162,0.00211064925644225
"54",0.0116112863117416,0.00164757040599987
"55",0.0091960058083431,0.00736700039093035
"56",0.00674900022307767,0.019808043340319
"57",0.0118862930635702,0.00575606047744129
"58",0.0122973035349463,0.00583515760976429
"59",-0.00305678392690477,0.3232770296602
"60",0.000563903935176427,0.810886452773007
"61",-0.000250243246278664,0.957097572673415
"62",0.00370542292781096,0.383388534003003
"63",0.00879409589458111,0.0497753820404135
"64",8.99588408500466e-05,0.983861333185372
"65",0.00702989281524375,0.0682642765665123
"66",0.00894652740424783,0.0340767290028004
"67",0.0236774517454297,2.56704483311044e-06
"68",0.00614226745696761,0.0739365028739074
"69",0.0123639542263446,0.00486224912737937
"70",0.0219954752914978,8.94642958364581e-06
"71",0.020361773033544,0.000131220891485002
"72",0.0225297741322067,1.60547786192256e-06
"73",0.0100836701893193,0.00620580300548782
"74",0.0208471167628459,0.000777155625773115
"75",0.0162483824535549,0.000556036545657257
"76",0.00639642306266414,0.042050328441234
"77",0.00567093976520867,0.0284828232275319
"78",0.00633572512986799,0.118718231698473
"79",0.00573518692998722,0.00662801642374954
"80",0.00203180767710507,0.118097446319585
"81",0.0246590476139201,3.42714612264958e-05
"82",0.0270261313704591,5.96910076354519e-07
"83",0.0103276747217595,0.000393296181284562
"84",0.0202202354369565,1.58049509653623e-05
"85",0.0100771317286328,0.0441874632781802
"86",0.0312381072707322,3.12635853623346e-07
"87",0.0102482376762609,0.00102455736781541
"88",0.00245420951339569,0.530789014814149
"89",0.0207068162177881,1.49442924011985e-05
"90",0.032556021594796,2.82661685537783e-07
"91",0.0083907242724035,0.00897277266618762
"92",0.000391147255765243,0.868737651286384
"93",0.00270791580287625,0.551842414961583
"94",0.00437334791805861,0.0701047040569725
"95",0.0160454872532767,0.00201508338594037
"96",0.0101240325622654,0.00910384886660933
"97",0.018799464173684,0.000148120222901524
"98",0.0131522953114559,0.000449309737932896
"99",0.00697304114313317,0.052575395607438
"100",0.0150894143308916,0.000186635788498914
"hippocampus_L",0.00667703578778645,0.000731016196788111
"hippocampus_R",0.00754207392714569,0.0165707584153959
