"node","n_sub","mean_L1","mean_L2","mean_diff","t","p","p_fdr"
"32",36,0.000138190719074892,-1.79356466362534e-05,0.000156126365711145,6.93949409924268,4.57358487286335e-08,4.66505657032062e-06
"73",36,0.000175222216312881,-5.39886598242596e-05,0.00022921087613714,5.62649783354337,2.39970046812964e-06,0.000122384723874612
"38",36,0.000220395220999038,2.84276808339423e-05,0.000191967540165095,5.31420645800718,6.19523936105829e-06,0.000160637871894047
"69",36,0.000167520894489948,-5.3665081823748e-05,0.000221185976313696,5.24372540613567,7.67190343437128e-06,0.000160637871894047
"89",36,0.000161190761604643,-6.80166280337288e-05,0.000229207389638372,5.23513249402371,7.87440548500231e-06,0.000160637871894047
"31",36,0.000170296255101405,4.89586512816281e-06,0.000165400389973243,5.08868702308741,1.22701036051439e-05,0.000208591761287446
"18",36,0.000168533811064124,-5.08774206774465e-05,0.000219411231741571,4.89973516808554,2.17099285604666e-05,0.000316344673309656
"23",36,0.000185613657920075,-1.65397253345695e-05,0.000202153383254644,4.799201748614,2.93809843387848e-05,0.000332984489172894
"25",36,0.000157049098083296,5.50300174229354e-06,0.000151546096341002,4.8277308776516,2.69656890881436e-05,0.000332984489172894
"41",36,0.000233614302851689,1.86801906826389e-05,0.00021493411216905,4.71713503123147,3.75889510185265e-05,0.00038340730038897
"80",36,0.000130538968450164,-1.24661310888075e-05,0.000143005099538971,4.43358397052209,8.75741044256295e-05,0.000812050786492201
"92",36,0.000185803578476659,1.6559527898117e-05,0.000169244050578542,4.37855811531133,0.000103075493470583,0.00087614169449996
"42",36,0.000181617433818479,-1.87828457503908e-06,0.000183495718393518,4.33814968961991,0.000116148602925452,0.000911319807568935
"1",36,0.000173396504158535,9.88206697618097e-06,0.000163514437182354,4.24939219582019,0.000150850324029075,0.00102143838240599
"22",36,0.000195209176756504,-1.9669754024482e-05,0.000214878930780986,4.18113054488643,0.000184283941089321,0.00102143838240599
"43",36,0.000198714223976378,-1.19415250888899e-05,0.000210655749065268,4.24936425833401,0.000150862707727253,0.00102143838240599
"48",36,0.000235340043612773,3.40289054001547e-05,0.000201311138212618,4.16770243095109,0.000191668083538648,0.00102143838240599
"64",36,0.000209712829777172,1.76680746989527e-05,0.00019204475507822,4.1948636804312,0.000177020537403801,0.00102143838240599
"70",36,0.000118931140774563,-5.68799910772663e-05,0.000175811131851829,4.1526640213409,0.000200282035765881,0.00102143838240599
"76",36,0.000191306442573631,2.15346726996403e-05,0.00016977176987399,4.19649359760024,0.000176177332784851,0.00102143838240599
"3",36,9.33169668412009e-05,-5.08000100798395e-05,0.00014411697692104,3.98315040483659,0.00032778846849897,0.00158030509440775
"66",36,0.000187480087789607,2.602449115593e-05,0.000161455596633677,3.96962194476241,0.000340850118401671,0.00158030509440775
"39",36,0.000270287946671477,7.17836019213656e-05,0.000198504344750111,3.94066966248056,0.000370531532354913,0.00161634015143784
"45",36,0.000164117369711447,3.74287427839972e-06,0.000160374495433047,3.93162003435296,0.00038031532975008,0.00161634015143784
"10",36,0.000224077967914423,7.82723450840258e-05,0.000145805622830398,3.87148687104704,0.000452022033483916,0.00184424989661438
"79",36,0.000142695244987284,-6.19701651347352e-07,0.000143314946638632,3.79484322612198,0.000562681613558657,0.00212568609566604
"87",36,0.000195558962407634,6.47482434212585e-06,0.000189084138065508,3.79980370983852,0.000554785851584777,0.00212568609566604
"15",36,0.000195225863963915,2.50994907752139e-05,0.000170126373188701,3.69530277506656,0.000746231188159706,0.00245534132878355
"35",36,0.000228388345138239,1.06904743761932e-05,0.000217697870762045,3.7303835639413,0.000675744644693607,0.00245534132878355
"72",36,0.000198061871046329,4.38107004573734e-06,0.000193680801000592,3.69602142650302,0.000744718260770113,0.00245534132878355
"77",36,0.000166984522211106,-9.66607331969313e-06,0.000176650595530799,3.7160952617,0.000703638352654863,0.00245534132878355
"67",36,0.000144832783021841,-6.12519581584338e-06,0.000150957978837685,3.68150739841094,0.000775857097473421,0.00247304449819653
"34",36,0.000173802784588891,-2.92377476366478e-06,0.000176726559352556,3.66264242439532,0.000818218618475683,0.00252903936619757
"26",36,0.000210766884762778,2.78526577706551e-06,0.000207981618985712,3.62934562008857,0.000898506087970474,0.00269551826391142
"29",36,0.000162078448268051,8.94896897543631e-07,0.000161183551370507,3.59128831041221,0.000999604267486124,0.00275566581847526
"81",36,0.000172039001626551,3.31752091926935e-05,0.000138863792433857,3.60010612136522,0.000975245414087022,0.00275566581847526
"94",36,0.000155343440266547,-8.14291765906176e-06,0.000163486357925609,3.60763725134084,0.000954895597411587,0.00275566581847526
"47",36,0.000224313386624668,2.60869831228074e-05,0.000198226403501861,3.55092014461669,0.00111881868475245,0.0029261411755064
"59",36,0.000191520627179909,6.01571400179456e-05,0.000131363487161963,3.55245875508765,0.00111403363579779,0.0029261411755064
"68",36,0.000144933277370887,-8.45039025626262e-06,0.000153383667627149,3.51935764293118,0.00122146236862365,0.00311472903999031
"8",36,8.51138826305564e-05,-6.31713051551972e-05,0.000148285187785754,3.50820783355494,0.00125984511906475,0.00313424883279523
"16",36,0.000154080612970043,-2.02041141569407e-05,0.000174284727126984,3.48733653665196,0.0013348367474119,0.00318962476590269
"51",36,0.000142823179099908,1.33505666010881e-05,0.00012947261249882,3.48469041173107,0.00134464573464525,0.00318962476590269
"27",36,0.000201036961304268,1.34874270298625e-05,0.000187549534274406,3.43502815021882,0.00154212084375057,0.00357491650142178
"36",36,0.000158939710207181,-3.86312066251688e-05,0.00019757091683235,3.38937177562684,0.00174801159643328,0.0039621596185821
