,sub,node,episode,label,r
114,sub-01,12,5,control,0.6597312422608339
115,sub-01,12,6,reappraisal,0.9055929452770874
116,sub-01,12,7,reappraisal,1.0728723320865277
117,sub-01,12,8,control,0.7018361813694394
118,sub-01,12,9,control,0.29571849432708547
119,sub-01,12,10,reappraisal,-0.1422638220248131
120,sub-01,13,1,reappraisal,0.29190968730142247
121,sub-01,13,2,control,-0.13252543545280568
122,sub-01,13,3,control,-0.10079365523972326
123,sub-01,13,4,reappraisal,0.1384383369123306
124,sub-01,13,5,control,-0.08159493253209867
125,sub-01,13,6,reappraisal,-0.260340428103353
126,sub-01,13,7,reappraisal,0.5079135187354146
127,sub-01,13,8,control,0.27042507179611486
128,sub-01,13,9,control,0.2519329763396247
129,sub-01,13,10,reappraisal,0.21977688231990308
130,sub-01,14,1,reappraisal,-0.679360032712196
131,sub-01,14,2,control,-0.1033479738459894
132,sub-01,14,3,control,-0.02559994084347009
133,sub-01,14,4,reappraisal,0.09926638166021647
134,sub-01,14,5,control,0.28521261467895936
135,sub-01,14,6,reappraisal,0.08747579675551055
136,sub-01,14,7,reappraisal,0.6308722871742641
137,sub-01,14,8,control,0.29651962240917823
138,sub-01,14,9,control,0.4185291910728356
139,sub-01,14,10,reappraisal,0.04707244397149682
140,sub-01,15,1,reappraisal,-0.4220084780864381
141,sub-01,15,2,control,0.7736795286830799
142,sub-01,15,3,control,0.4933053881334015
143,sub-01,15,4,reappraisal,-0.00944601277800906
144,sub-01,15,5,control,-0.741134822998759
145,sub-01,15,6,reappraisal,-0.2600940203002996
146,sub-01,15,7,reappraisal,0.7742084645404945
147,sub-01,15,8,control,-0.4405924496537418
148,sub-01,15,9,control,0.4923266764793327
149,sub-01,15,10,reappraisal,0.6624000235479904
150,sub-01,16,1,reappraisal,0.49429484049099204
151,sub-01,16,2,control,0.7587152766950256
152,sub-01,16,3,control,0.5951242075814271
153,sub-01,16,4,reappraisal,-0.06943746972307639
154,sub-01,16,5,control,0.04561882129075072
155,sub-01,16,6,reappraisal,-0.10302438100812954
156,sub-01,16,7,reappraisal,0.6910955398815873
157,sub-01,16,8,control,0.48886829914872365
158,sub-01,16,9,control,0.35486728173797505
159,sub-01,16,10,reappraisal,0.23213687057058077
160,sub-01,17,1,reappraisal,-0.5053264718798838
161,sub-01,17,2,control,0.3196836378452554
162,sub-01,17,3,control,-0.16287868787518725
163,sub-01,17,4,reappraisal,0.12591056062422942
164,sub-01,17,5,control,0.7980606895975494
165,sub-01,17,6,reappraisal,-0.25894433315697984
166,sub-01,17,7,reappraisal,0.07579405262242954
167,sub-01,17,8,control,-0.12171451069550797
168,sub-01,17,9,control,0.014536053093921355
169,sub-01,17,10,reappraisal,-0.0402199520447075
170,sub-01,18,1,reappraisal,0.4146210564407484
171,sub-01,18,2,control,0.6095807534402269
172,sub-01,18,3,control,-0.08492667607727548
173,sub-01,18,4,reappraisal,0.261215921851814
174,sub-01,18,5,control,0.059366828657838225
175,sub-01,18,6,reappraisal,-0.0930754342494607
176,sub-01,18,7,reappraisal,0.10574446672492485
177,sub-01,18,8,control,-0.33459330693598854
178,sub-01,18,9,control,0.080557329695063
179,sub-01,18,10,reappraisal,-0.04389718907944173
180,sub-01,19,1,reappraisal,-1.174649291317
181,sub-01,19,2,control,0.05080741039777063
182,sub-01,19,3,control,-0.31930102016531503
