"node","estimate","p"
"1",0.0136567306920804,0.322516942143366
"2",-0.0267281306843916,0.245823345975997
"3",0.00630879066849221,0.69942525280436
"4",-0.00948651550964252,0.635556923329353
"5",-0.0211661201128738,0.264436726312954
"6",-0.00858213904503091,0.676932340403222
"7",0.0385227775143048,0.0520816245036202
"8",0.011315917178876,0.581473160393978
"9",0.00199517355977184,0.926685703280728
"10",0.0288848144677963,0.202329407545938
"11",0.0356437659981305,0.0479795728070153
"12",0.0208899587414868,0.36419186465875
"13",0.00465865515867244,0.813122292259034
"14",0.0455537877649579,0.03671752676263
"15",0.00774950493240012,0.706503172997178
"16",0.0193396000458807,0.298110221598238
"17",0.0299538384869588,0.17238612035053
"18",0.0283247748850166,0.142033598329583
"19",0.00734867972748728,0.785856822412342
"20",0.0284950780257189,0.227849102271521
"21",-0.00696264935836896,0.73303244885113
"22",0.0251124098848542,0.242413472584513
"23",0.0175198649772341,0.330828154147841
"24",0.0076771245851406,0.73841191079084
"25",-0.0188783694457522,0.231184355584701
"26",-0.0123798425798011,0.52673853829066
"27",0.0481813194979878,0.0245623753454227
"28",0.0252662561645156,0.289518769659922
"29",0.0151155790306278,0.446840092801231
"30",0.0272252754751529,0.266770538100666
"31",0.00514778258507294,0.73729688664498
"32",0.0482221418883025,0.000187455782627965
"33",0.0359183878564185,0.0534572381607926
"34",0.0287610608156662,0.176926972832224
"35",0.0200611051438611,0.340037381679862
"36",0.0213354323335887,0.421902338045371
"37",-0.00450324715193982,0.838466211551956
"38",0.0784355321170685,2.73387169850138e-05
"39",0.113522903054584,2.82857691321763e-06
"40",0.0947188003552764,0.000324866096320124
"41",0.0766817217145956,0.000749214986482082
"42",0.000748744651622051,0.968216939077798
"43",0.0177757393492048,0.390966255948769
"44",0.0292859332135507,0.169494807325397
"45",0.0319312569587196,0.0754255273877594
"46",0.0400015814974057,0.0772961746531825
"47",0.0572584330680701,0.0121759025698446
"48",0.036549474525291,0.0836810790909398
"49",0.0166763949677496,0.448577941089264
"50",0.0339927537824504,0.100498347922365
"51",0.020722382241308,0.160270503347519
"52",0.0101183016497601,0.655401826531649
"53",0.00548079689953331,0.777587205878939
"54",-0.00880011554008045,0.627541370422204
"55",-0.0100497178194375,0.604439460638415
"56",0.00962548952906078,0.629012655935967
"57",0.0260747750516437,0.214995759681912
"58",0.00291597878138189,0.882899934563938
"59",0.0229950121664316,0.271141198710776
"60",0.0118617852914002,0.535743172740423
"61",0.00759145987093785,0.775889060989548
"62",-0.0100423164135345,0.619619147138342
"63",-0.00825899710556969,0.709122277350436
"64",0.0116372772466451,0.586122652659051
"65",0.0228120659011242,0.350236538727065
"66",0.00356436738066551,0.864818633130341
"67",0.0353608789934023,0.0978197195743971
"68",0.0104814093687812,0.629039388515146
"69",-0.00721986910745116,0.765554416642626
"70",-0.0089192467088002,0.691281432720264
"71",0.0226314264709122,0.284444946479318
"72",-0.0231500011498192,0.306324290697232
"73",-0.0106200511465859,0.614634416519307
"74",0.0462921030583437,0.0819742434569939
"75",0.00206784936897134,0.930913499312535
"76",-0.0305953299893058,0.106367694771263
"77",0.024709284874275,0.24195483016998
"78",0.0167297178056208,0.472370769632853
"79",0.00822533487389667,0.56563334859166
"80",0.0309025778225111,0.0222407346070934
"81",0.00367674268127779,0.877079567827054
"82",0.01289532983856,0.58372788320144
"83",0.022158894188409,0.21621211664918
"84",-0.00457144824283078,0.837044673598708
"85",0.0197457312646426,0.381964839760315
"86",-0.0290419962763768,0.206549993656068
"87",-0.0038083231270922,0.85743450644513
"88",0.00415453389003114,0.861607836615168
"89",-0.00410708161945134,0.858921062461294
"90",0.0167871851451316,0.499078460100213
"91",0.0375194254004599,0.0489669529205915
"92",0.060485673936238,0.00242943319332912
"93",0.081413258271327,0.00644328221833857
"94",0.0102088555388447,0.553623565706002
"95",-0.0113251112788788,0.640118294321777
"96",0.0297372049275718,0.138759676015952
"97",0.0318256154893385,0.134505840970603
"98",0.0295182969255844,0.183344596480963
"99",0.0096689062354359,0.672598323248965
"100",0.0141363315729714,0.50188227894051
"hippocampus_data_L",0.0118526869919208,0.404477101837048
"hippocampus_data_R",0.000866408436887031,0.946963152549174
