"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value","listenL1_greater_estimate","listenL1_greater_p_value","event_listenL1_greater_estimate","event_listenL1_greater_p_value"
"1",-0.0312806820573483,0.00518407282467427,0.00221051587247106,1.01184552249758e-05,-0.0502572588412163,7.25288510481943e-06,0.00275179529481513,4.01358943648294e-08
"2",-0.056527876462909,0.00822060366048397,0.00464081509319611,1.80897099673329e-07,-0.0430116146037222,0.0302957215804176,0.00228204239850814,0.0101475065252775
"3",-0.0427343086371024,0.00491948294634243,0.0030026908809442,1.23561766810088e-06,-0.00981063326035541,0.477824995061258,0.0011170021326438,0.0706788135060045
"4",-0.041542926303297,0.0247747552583692,0.00324250205376105,2.53974739579559e-05,-0.0426324448626075,0.0132261320606722,0.00226963553114056,0.00317581371595189
"5",-0.0644519656327196,0.000410644164156104,0.00446538989346811,1.7353483098532e-08,-0.0195738874746926,0.26806353740384,0.00145603564905889,0.0653655922598636
"6",-0.0692069515865344,0.000370212603158866,0.00455145378828624,5.67697403108267e-08,-0.0249198653281595,0.182859764661808,0.00121324986707792,0.146844499692385
"7",-0.0281350215240875,0.0745660451801141,0.00206605698965359,0.00154436785467329,0.0023044045279545,0.874456682223032,0.000938544953670022,0.150044753915199
"8",-0.0225312932373175,0.171503470295168,0.00248668065485899,0.000728805078513097,-0.0159119562581932,0.333408265943932,0.00101440630199883,0.167761983729016
"9",-0.0525488464940195,0.00649263789585492,0.00347801541777331,2.1654336988584e-05,-0.0197265519204231,0.280842710083015,0.00106166814496196,0.194148562479563
"10",0.0611833981963478,0.00857675906427656,0.000861140922814296,0.195656270242804,-0.027343314805962,0.0663095088699022,0.00178448722792872,0.00735872481988788
"11",-0.00721626278369348,0.697461023378795,0.00189083954015242,0.000488934077714846,-0.0290882101422843,0.0164378439335811,0.00175493980366114,0.0012094174884346
"12",0.035866683551715,0.113156824886253,0.00105975034431656,0.121832391637936,-0.0333028324965237,0.0297997705501566,0.00214669066250556,0.00173740444326637
"13",-0.045131811383036,0.0104225025798443,0.00265123294228612,0.00061221299900207,-0.056041076402488,0.00120571951825321,0.00310433542432159,6.07017361059682e-05
"14",-0.024142902199715,0.15842255723189,0.00208975114391205,0.00345076168355871,-0.0129479249156658,0.417640749645603,0.00193998330871678,0.00662458654771453
"15",-0.0589234060167338,0.000191718311403735,0.00377080885518898,6.99204878453653e-08,-0.0233681083929788,0.13435210260753,0.0017394077880403,0.0126944652948648
"16",-0.0600369919299359,0.000178121447580209,0.0037421749578366,1.78553886182551e-07,-0.0433481890652136,0.00677013615114978,0.00256024611064571,0.0003484745727631
"17",-0.0160777908961825,0.378525934010257,0.00196714635656977,0.00994061043920568,-0.00456972163471056,0.788820371483435,0.000787080320723401,0.302081539459158
"18",-0.0413555649509757,0.0163854773104592,0.00252977724403436,0.000486859698131393,-0.0170336804318541,0.293337506187493,0.00110231755330585,0.12821233378907
"19",-0.045788313312557,0.0301661349160498,0.0029703476217244,0.00117417552973271,-0.0197463595993923,0.334475286231826,0.00154299338401262,0.0916207680970661
"20",-0.0741183363457001,0.000388499305812639,0.0043378640207184,1.54542360734018e-07,-0.0320813616035541,0.0821197708644987,0.00207185215260312,0.0120373923613005
"21",-0.0491873688579415,0.00185488535113227,0.00322487946097975,2.54909726991443e-06,-0.01987270560804,0.194212501376393,0.00161169156772338,0.018542114590183
"22",-0.0327353676341751,0.0382549536708369,0.00264464666484605,0.000171414395637222,-0.0290314253129813,0.0649340845262564,0.00217300469909242,0.00200864232215543
"23",-0.0385832871177098,0.00353620537184983,0.00256857676855093,1.42454814442378e-05,-0.0233592911883262,0.0772639487656001,0.001701817986176,0.00399839187286825
"24",-0.00695925934948757,0.729779132466429,0.00205725638198654,0.00365702056205847,-0.0440998734972901,0.00535344953555863,0.00242344529306207,0.000620232904012405
"25",-0.0289224824844436,0.0201861478491774,0.00249892659363789,3.40019248282795e-07,-0.0329888506058743,0.0025780796607051,0.0020301643776945,3.37536767894156e-05
"26",-0.00908000511373435,0.527487254067458,0.00142069732914337,0.0209710647860803,-0.0188422398199573,0.171003769604918,0.00110370311752236,0.0728500114889031
"27",-0.0314604197592314,0.0822783644363239,0.00250328186698364,0.000290750630971443,-0.0370685390776893,0.0163960299116921,0.00219525347329859,0.0014807111342236
"28",-0.0233404283542213,0.223304727939224,0.00202142676027248,0.0109881526927844,-0.0288879761120551,0.104148976359867,0.00165872804571676,0.0368712055547978
"29",-0.0350522761188861,0.0367841469572555,0.00235499852125079,0.0005268964315442,-0.0384497126034133,0.0113643153396557,0.00231292472701608,0.000661893631553671
"30",-0.0361561833385932,0.0557273063049441,0.00241149892702484,0.00327998485749622,-0.0157407047965229,0.390626909194966,0.00154767568504116,0.0590418915737519
"31",-0.0383632371770802,0.00178286807302146,0.0026343912715834,1.00900915748047e-06,-0.0423070318745225,0.000441518015009788,0.00249331153460249,3.67307456907549e-06
"32",-0.064309581473303,3.25067713217867e-12,0.00372577102035025,3.90286724201355e-20,-0.0213160825284649,0.0179002754012838,0.00157091124277489,9.61331225252679e-05
"33",-0.0582533829571008,0.000648579708907315,0.00342227411947275,1.38907498357586e-06,-0.0380411286037426,0.0163037174734808,0.00258469880727222,0.000263591140112958
"34",-0.00282083112971455,0.877042932328294,0.00131743462281094,0.0893200949004586,-0.0131488549940706,0.448374860272473,0.001489221456567,0.0548082938925046
"35",-0.000663752359170584,0.967434115229414,0.00110761350872389,0.104459975363209,-0.0238804396657821,0.117645583136133,0.00175290656554575,0.0102118816822523
"36",-0.0822837012597272,8.52664465589484e-05,0.0040056778962913,1.92032285577622e-06,-0.0160033362475147,0.394178015245639,0.000823762537427767,0.32649501120259
"37",-0.0373593424934615,0.0370756174457223,0.00254461169635924,0.000364001193767733,-0.0301091440984886,0.0591496642057258,0.00213903307819671,0.0027199708495994
"38",-0.046811695924149,0.000120739885591989,0.00440302975294432,1.02666201772566e-16,-0.025617434941539,0.0298639849568429,0.00191873352940647,0.000276434633707523
"39",-0.0399429349241874,0.0302926520231931,0.00491238827330009,4.01256135384688e-13,-0.00850453634267443,0.572637110228389,0.00123762240275617,0.0663230088042292
"40",-0.00733880377350335,0.68371252905672,0.00235805096871881,0.00152912662556434,-0.0205246035592183,0.217220597269939,0.00206440758535711,0.00551915782903017
"41",-0.0291369582760641,0.0648251234794985,0.00229925449630181,0.000576394133293386,-0.0280733290313944,0.0600761628763572,0.00230876461157132,0.000546847297323508
"42",-0.0240018387265752,0.109865219090714,0.00220650098450367,0.000361151283920729,-0.0322849441172405,0.0195721317222815,0.00207356210488535,0.000800813393362263
"43",-0.0291357634556323,0.0505204039890742,0.00217062511856262,0.000518494158561093,-0.0334206324716369,0.0168378618160969,0.00249818093906669,6.51434775592906e-05
"44",-0.0529490912821858,0.00272946739759851,0.00325970029542583,6.23850217807297e-06,-0.0353861402984337,0.028124810397488,0.00203141405088802,0.00481853342591824
"45",-0.0208007398560889,0.146764265528755,0.00205462676791312,0.000378266546597966,-0.0423443383837139,0.00105545919493794,0.0026280580897043,5.53169713543559e-06
"46",-0.0320183824029569,0.0683601214490401,0.00306086455000823,9.47794102858391e-06,-0.0389056810282133,0.011758249464753,0.00248652507502276,0.00031825882602178
"47",-0.0128926139057964,0.466636874726311,0.00167315603229176,0.0263509959776584,-0.0223540643359317,0.184586201404484,0.00217146881194271,0.00395693759863501
"48",-0.0294713978245406,0.0846306573455298,0.00243505238968738,0.000260536782596573,-0.0389586597034961,0.00897380998185199,0.00255373756563488,0.00012856806929299
"49",-0.0693316552456438,0.00017642438390552,0.00351989308889806,8.17047537981823e-06,-0.0377673635538708,0.0321608095795369,0.00196505894208326,0.0126515431084475
"50",-0.105015073362014,5.52346239005681e-11,0.00528055062273956,7.06614438922302e-16,-0.0213835873188853,0.141780239299758,0.00138679709030448,0.0330753815029445
"51",-0.0227455239159839,0.0813806613948619,0.00267080049270132,1.02486075501965e-06,-0.0460642331135268,0.000162717986686757,0.00270276107886197,7.61360961500049e-07
"52",-0.0330165538015095,0.0888768674572431,0.00337939562250953,4.36618885860016e-05,-0.0290097975779966,0.116328458600785,0.00205684489288273,0.0127718694054238
"53",-0.0364438601448799,0.0304489621024289,0.003349897754739,1.35718715367294e-06,-0.0278140534494035,0.0724359486900317,0.00223167350734525,0.00127134397906725
"54",-0.050461547275694,0.00197228785100046,0.00350276660694406,5.51387087426173e-07,-0.0311935859169379,0.045802416608113,0.00159720859630808,0.0221633333905387
"55",-0.0756071112755871,2.25915921784706e-05,0.00476190247039256,3.22907421222109e-10,-0.0153481408542651,0.363308046663953,0.000814255027235259,0.280616921404417
"56",-0.0373942523865917,0.0315695987800551,0.00257911139956536,0.000678563016448275,-0.0203940016180897,0.229290038121408,0.00139224001546619,0.0663973502833055
"57",-0.030382752562413,0.10545567846175,0.00331492443946435,5.97550097483299e-05,-0.0315857657649229,0.0869721319845416,0.00178557496448078,0.0304411416100946
"58",-0.0356636358644249,0.0571527975493566,0.00334172475414919,1.0137495095308e-05,-0.029163107366747,0.0846053805628009,0.00127743844666698,0.0910230716105842
"59",0.0198243049473697,0.310532351624527,0.00208143613139406,0.00051108857638756,-0.0249757043397133,0.0621456510284102,0.00186106487299065,0.0018856717306898
"60",-0.00682852927435939,0.74268109190908,0.00156474170252292,0.0104716175711959,-0.00209514239113054,0.878160359682065,0.000625777853484022,0.305707864875691
"61",-0.0125972658974879,0.591146805464837,0.00325363182675027,2.69020080241248e-05,-0.0150549970325635,0.384480106830597,0.00148275147834287,0.0554032909793242
"62",-0.0248835377896035,0.153867603414189,0.00187085440215595,0.0105272285231823,-0.0360875343654874,0.0273911455036549,0.00194104489075194,0.00795766424193189
"63",-0.0141655264148488,0.493374766447819,0.00279222198031358,0.000401283413299495,0.0203539193531411,0.248335736652196,-0.000848905731060558,0.281412183955072
"64",-0.0265917333571142,0.162834089543084,0.00260163421495723,0.00146874308276977,0.017050500229789,0.351025606481858,4.42289099302136e-05,0.956835138300393
"65",-0.0282501061999884,0.209486772217929,0.00247563406742401,0.00609345802775496,-0.0117982793318877,0.558780170014512,0.0010642360449359,0.238112372751046
"66",-0.0609484172587918,0.000102112370549923,0.00379499976274048,1.39883716376883e-08,-0.006075608978541,0.683852605216923,0.0012478919771274,0.061404025474901
"67",-0.0470417438057283,0.000827427391192364,0.00356150822553544,7.13386657374407e-09,-0.0454188687384216,0.000945955137382036,0.00217170391469056,0.000406108252794231
"68",-0.0221101263925097,0.141965327739373,0.00201031710148007,0.00174486937780271,-0.0299968237754348,0.0367042341116135,0.00231322078695928,0.000316787287685341
"69",-0.0139358915100708,0.416236531200528,0.0016473697901254,0.027317401779666,-0.0344624569764459,0.0390353174453695,0.00210671944391481,0.0047795772316373
"70",-0.0567328379489502,0.000811381126317403,0.00345584747138118,1.30161254010222e-06,-0.0379359702336978,0.0173810525706072,0.00171377008617395,0.0162227465251843
"71",-0.0422074804162762,0.0231023998327269,0.00304905676958168,3.08854985924478e-05,-0.0330194577202576,0.0434351453603788,0.00209360936362977,0.00418913057547668
"72",-0.0372176741205866,0.0219783328872735,0.00335788196459658,1.982282010764e-06,-0.0331880008479362,0.0353482530921841,0.00191893020085554,0.00650244983370097
"73",-0.0445607893907244,0.00615761781474196,0.00261985325535217,8.02597652665985e-05,-0.0204958059983809,0.167340140632568,0.0014897026660694,0.0247929377090872
"74",-0.00315028394294793,0.88638430653206,0.00381569951072415,1.21641832755164e-06,-0.0286874472005306,0.102250653535107,0.00169973468135441,0.030344007518922
"75",-0.00217022370961306,0.920215506494948,0.00207771646417669,0.00788730291356595,0.00128896473776231,0.941230546463226,0.00128758023956336,0.0995287886728216
"76",-0.0250558975990454,0.0589177319168128,0.00223466581229511,4.05094106161201e-05,-0.0345101394776725,0.00457321785526825,0.00205281694667731,0.000162295566635004
"77",-0.039852752262047,0.0151552135368864,0.00254656773760165,0.000105901824289257,-0.026337929361691,0.0727901173921306,0.00173417939724437,0.00824364813786224
"78",-0.0311550786166782,0.067403251065504,0.0022769917949543,0.00144246645878701,-0.0172732477223603,0.279592479812988,0.00135349842292978,0.0580928370832504
"79",-0.0388950084899919,0.00402065915503599,0.00290802142405122,9.99944329696455e-08,-0.0379625627385062,0.00184788222849395,0.00254045595417651,3.21875587243177e-06
"80",-0.0577036650950846,7.72509471874518e-09,0.00380427047170715,1.06847119078078e-19,-0.0388853908757551,2.9857584926288e-05,0.00249988768420301,2.0503806138442e-09
"81",0.00499868513376922,0.770144701536512,0.00154127511951587,0.0303779754142241,-0.0420844927969442,0.00824208939431129,0.00235018554630368,0.000968376629750198
"82",-0.0174928909051177,0.317061741692513,0.00181083672714683,0.0123641957148089,-0.0405287327858415,0.0123277340216466,0.0024489226501778,0.000721085390730973
"83",-0.042284664441031,0.00193399176442101,0.00283532949002996,1.15111542212841e-07,-0.0505147342519399,2.38277858266053e-05,0.00275551067143717,2.56897151037631e-07
