"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value"
"1",-0.0370940397748244,0.472842751134001,0.004473324850038,5.68642689821586e-14
"2",-0.0401690550023045,0.228562421941203,0.00486639992022826,4.24043173536271e-06
"3",-0.0256437219472071,0.225567835994627,0.00335226323573543,4.20015447219455e-06
"4",-0.0154746218574472,0.706762501497568,0.00350815776762591,0.000407077931706112
"5",-0.034808052263513,0.370340938423467,0.00468235454529806,6.43507246289693e-07
"6",-0.0438440016220963,0.378017120751481,0.00483175190351645,6.61301950230216e-08
"7",-0.0107243751674561,0.741842880438944,0.00344881024292908,1.02154861510026e-05
"8",-0.0141937633442287,0.446655521036454,0.00264399770519295,0.00167511255051739
"9",-0.0472021819242955,0.177419754872403,0.0042673973624627,4.27255875201714e-06
"10",0.0259316028169899,0.564904527525357,0.0046820853106723,3.40983177446731e-09
"11",-0.00611327702293993,0.891916206750624,0.00386031391298527,2.71795210718593e-09
"12",0.0125212175631823,0.706431061506027,0.00386743757025166,1.20708877311569e-06
"13",-0.0580307319763949,0.233680121078693,0.00496499214241178,4.16949642374864e-09
"14",-0.0126884169852579,0.65706353326867,0.00375146687597185,3.02390306948028e-06
"15",-0.0523479883091762,0.273616783015015,0.00542508558590382,1.27793031836398e-11
"16",-0.0552019140409452,0.337645163400369,0.00565941323240737,2.13515647909148e-10
"17",-0.00574307260156433,0.85849227086696,0.00317937603411941,0.000193649886598853
"18",-0.043486082626092,0.292339869619658,0.00415867337069745,3.03925185152982e-07
"19",-0.0216574628080287,0.587024702502789,0.00368619081010608,0.000293639686343065
"20",-0.0637321055690469,0.319054926062524,0.0062311209644644,5.41523029946395e-11
"21",-0.0578910000273465,0.168965029159888,0.00544900501420834,8.61776245321924e-11
"22",-0.0587164794373581,0.113017766723134,0.00563295783765288,4.040164658744e-12
"23",-0.042286887469441,0.355897957191772,0.0047274496181005,1.30463796765101e-12
"24",-0.0274710309170464,0.66267897677814,0.00566584956418503,3.69570480779344e-11
"25",-0.0390249304779928,0.376557776060942,0.00480719641877956,1.63212493217521e-16
"26",-0.0287300693588255,0.51263133503315,0.00413280086106446,4.0495326908661e-08
"27",-0.0484506077456514,0.325911898705214,0.00525055444116148,2.24504760309743e-11
"28",-0.053490969266723,0.199069507434328,0.00497061645407371,1.56909364211026e-07
"29",-0.0475483938493189,0.329773634827197,0.00489172175448803,3.16784088213504e-10
"30",-0.0427227982469681,0.326238010771068,0.00489668259721826,2.64741942138751e-07
"31",-0.0552657215584709,0.15702490316611,0.0048699751293417,3.81545825355275e-13
"32",-0.049632064422462,0.223638533158752,0.0045545082189616,8.80320447882474e-19
"33",-0.100518684502211,0.0638182724245516,0.00737474692903157,1.48419435227395e-17
"34",-0.0124293361640619,0.611249363916139,0.00341145304681134,8.78131861250083e-05
"35",-0.0320135911000293,0.34812038703015,0.00435950781416356,6.34413486411976e-08
"36",-0.0568300077619791,0.321766277715428,0.00452043607385774,5.95637725913165e-06
"37",-0.0474358760266416,0.191912144629692,0.00471157702074413,1.90992465065086e-08
"38",-0.0565417700951736,0.186530838998074,0.00665031769312614,1.26201407986697e-23
"39",-0.0582545796527583,0.139528738350784,0.00774007897552629,1.24254545841838e-19
"40",-0.0403983153427016,0.397804436207874,0.00667069713568343,2.65954794609671e-12
"41",-0.0479132436573152,0.331207771004657,0.00569487037623114,7.52685677728433e-12
"42",-0.0389292213858736,0.258163281442134,0.00445294156850876,6.04607608465097e-09
"43",-0.0497468056501606,0.296869841104478,0.00548929400580516,1.47577306972232e-12
"44",-0.0599469339799166,0.228064543705915,0.00526662328890546,9.42398071863142e-10
"45",-0.0435808094893175,0.267238658088384,0.00487506246401479,1.42525011428776e-12
"46",-0.0614442520017412,0.125032956251869,0.00610604640536274,1.18871994158016e-13
"47",-0.0500994691963762,0.157210874356493,0.00560297784606065,1.94636361619591e-10
"48",-0.0564937219327165,0.333916137938739,0.00621544210043904,3.6267388189322e-14
"49",-0.068467270765383,0.311161382549725,0.00558109905130918,3.01654513262619e-09
"50",-0.0695854235262269,0.354928183629841,0.00610807676134941,1.22732316424975e-14
"51",-0.0171125219280007,0.653483066230801,0.00416001329253647,3.74766985003087e-10
"52",-0.02799087524131,0.342457481785419,0.00459697286322937,2.47780604613135e-06
"53",-0.0483936988899691,0.10273716506201,0.00556524441196372,3.33846494375119e-10
