"node","_Intercept__estimate","_Intercept__p_value","event_estimate","event_p_value","listenL1_greater_estimate","listenL1_greater_p_value","event_listenL1_greater_estimate","event_listenL1_greater_p_value"
"1",-0.013655673788249,0.603729106419729,0.0022853680693126,1.3333794932922e-08,-0.0204016490679985,0.0126480257214103,0.001929857752581,1.13060731559118e-06
"2",-0.0221022108198391,0.147195069214123,0.00316861836422188,6.00031043383092e-06,-0.0153418234648839,0.288177343023819,0.00146617445605617,0.0360693539056515
"3",-0.0205926319948458,0.128859170034345,0.0022181751325714,5.6295995555049e-06,-0.00423632635823365,0.671654276902921,0.00106483907618834,0.0278003335996322
"4",-0.00149382854184657,0.940898402215164,0.00189908331071801,0.00288743920940571,-0.0109993632399201,0.397760232297431,0.00135567441151495,0.0313793409227056
"5",-0.0254700880359154,0.384993636062895,0.00344446866946486,2.79885222982611e-08,-0.00844397021497798,0.50356678848367,0.00116190283493315,0.0573408510174566
"6",-0.0343401241886721,0.207848407851978,0.00356798011339558,7.38437877828015e-09,-0.00634091336937721,0.613832640241392,0.000994942665485686,0.102018524513035
"7",-0.0181785806554638,0.471257447357405,0.00243645200604007,4.31090223293994e-06,0.00856623728083648,0.427446971269553,0.000917843557815743,0.0790942054756497
"8",-0.00561243714022359,0.655863353806482,0.00153540870929007,0.0069613100569513,-0.00858132620400536,0.465080160849088,0.00110858899590289,0.0513144937501167
"9",-0.0355429059555908,0.0556381431762968,0.00305974973975012,1.27801447791577e-06,-0.00953973062395043,0.46026251324645,0.00102750156094341,0.100485369538309
"10",0.0430152125182074,0.106141066797141,0.0025165711010682,5.2727850573094e-06,-0.0136246103978406,0.226371230614542,0.00187152422551974,0.00060258718023829
"11",0.0131185182711221,0.643582269892899,0.00188663002485113,2.71341342215595e-05,-0.0165358601999802,0.0707735591222645,0.00174454885632858,8.32263886436487e-05
"12",0.0298956506611746,0.103107912833004,0.00166773981476947,0.00270559100915092,-0.0137128899384176,0.230179046990196,0.00188849300497811,0.00064666076911395
"13",-0.0258876592422253,0.189366272217683,0.00223819359808947,0.000172408828509273,-0.0288416377956293,0.0177874122709889,0.0024462003944243,3.33493848705701e-05
"14",-0.0107228437767386,0.581052823651583,0.00205953556665886,0.000244622483560843,-0.000940165545706953,0.93457251939003,0.00160477905629762,0.00381634724995925
"15",-0.0314665053427135,0.338152037426083,0.00341308979861982,8.27664859683533e-10,-0.0195026746748283,0.0845736035669674,0.00189480703060777,0.000541316720079332
"16",-0.0293692145972006,0.377839403370937,0.00326703580837833,2.17650345230643e-08,-0.0231852670945259,0.0509201222651915,0.00216736477559066,0.000165116108535615
"17",-0.00945721153459673,0.618010305213647,0.00226667594392418,0.000130614161076948,0.00573307063358363,0.635356918839067,0.000741105462255192,0.205515001931416
